"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
GA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,111,0,9,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,41,1,46,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,42,1,46,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,6,74,5,24,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,59,0,49,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_CABG,Rate of readmission for CABG,0,18,0,3,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,104,1,27,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,93,3,33,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,72,1,14,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),8,116,2,5,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,117,0,12,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2016,06/30/2019,Not Available,Not Available,Not Available,Not Available
GU,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2016,06/30/2019,Not Available,Not Available,Not Available,Not Available
GU,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2016,06/30/2019,Not Available,Not Available,Not Available,Not Available
GU,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,2,5,2,4
HI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,0,11,1,2
HI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,2,10,0,5
HI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,11,0,2,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,9,0,4,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,9,0,4,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,10,1,2,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,9,0,4,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_CABG,Rate of readmission for CABG,0,2,0,4,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,12,0,3,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,12,0,2,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,10,0,2,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,10,3,5,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,12,0,5,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,10,17,0,75
IA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,16,65,3,34
IA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,31,77,4,6
IA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,88,0,15,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,27,0,71,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,26,0,71,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,50,0,54,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,26,1,75,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_CABG,Rate of readmission for CABG,0,10,1,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,72,0,45,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,82,2,34,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,56,1,20,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,112,4,1,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,111,1,6,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,5,6,0,20
ID,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,7,16,0,18
ID,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,12,19,1,10
ID,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,23,1,7,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,9,1,18,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,9,0,18,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,17,2,12,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,11,0,20,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_CABG,Rate of readmission for CABG,0,5,0,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,26,0,14,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,22,1,18,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,27,0,4,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,35,4,4,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,31,1,10,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,3,73,22,71
IL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,14,115,36,16
IL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,23,102,51,5
IL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,156,1,12,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,7,69,2,65,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,75,1,65,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,4,113,5,40,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,97,0,71,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_CABG,Rate of readmission for CABG,2,48,0,14,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,163,3,14,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,8,153,4,16,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,3,107,2,30,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),24,147,8,2,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,9,166,1,5,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,10,36,11,55
IN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,24,71,10,10
IN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,17,79,13,7
IN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,110,0,1,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,49,0,46,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,50,0,46,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,8,80,3,28,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,56,1,55,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_CABG,Rate of readmission for CABG,1,28,0,7,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,109,0,7,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,93,8,10,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,79,0,18,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),5,107,9,2,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,105,2,7,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,6,18,0,75
KS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,15,57,2,54
KS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,19,89,6,16
KS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,90,0,23,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,12,0,66,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,14,1,66,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,5,44,1,43,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,23,0,75,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_CABG,Rate of readmission for CABG,0,13,0,2,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,78,0,50,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,71,2,54,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,2,43,1,7,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,125,3,8,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,113,0,16,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,1,27,10,49
KY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,9,53,20,11
KY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,13,46,30,4
KY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,78,1,7,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,33,0,30,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,34,1,30,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,53,0,24,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,37,0,49,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_CABG,Rate of readmission for CABG,1,14,0,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,6,84,0,3,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,7,75,0,11,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,44,0,15,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),11,80,2,0,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,5,84,0,4,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,3,27,11,39
LA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,4,65,15,18
LA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,11,74,10,8
LA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,86,0,7,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,33,0,35,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,34,0,35,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,62,4,27,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,40,0,39,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_CABG,Rate of readmission for CABG,1,21,0,8,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,79,0,23,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,80,1,18,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,52,0,16,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),8,98,2,9,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,95,0,8,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,1,27,14,16
MA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,1,23,32,4
MA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,3,31,23,4
MA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,55,2,0,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,36,0,19,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,35,2,19,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,50,4,2,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,2,40,0,16,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_CABG,Rate of readmission for CABG,1,12,0,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,6,49,0,4,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,8,48,0,4,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,52,1,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),19,39,1,0,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,5,52,0,4,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,5,20,11,11
MD,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,2,31,13,1
MD,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,2,22,22,1
MD,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,43,0,2,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,27,1,14,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,26,0,14,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,38,2,4,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
