"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
110200,PIEDMONT COLUMBUS REGIONAL NORTHSIDE,100 FRIST COURT,COLUMBUS,GA,31909,MUSCOGEE,(706) 494-2101,96,3,1,97,90,7,3,94,83,14,3,93,84,12,4,93,,1756,465,26,01/01/2019,12/31/2019
110215,PIEDMONT FAYETTE HOSPITAL,1255 HIGHWAY 54 WEST,FAYETTEVILLE,GA,30214,FAYETTE,(770) 719-7000,96,4,0,98,91,7,2,95,88,11,1,95,89,10,1,96,,1499,448,30,01/01/2019,12/31/2019
110225,PIEDMONT MOUNTAINSIDE HOSPITAL INC,1266 HIGHWAY 515 SOUTH,JASPER,GA,30143,PICKENS,(706) 301-5269,98,2,0,99,91,7,2,95,84,12,4,93,83,15,2,93,,1617,464,29,01/01/2019,12/31/2019
110229,"PIEDMONT NEWNAN HOSPITAL, INC",745 POPLAR ROAD,NEWNAN,GA,30265,COWETA,(770) 400-2300,97,2,1,98,91,7,2,94,85,11,4,93,86,11,3,94,,1524,352,23,01/01/2019,12/31/2019
110230,EMORY JOHNS CREEK HOSPITAL,6325 HOSPITAL PARKWAY,JOHNS CREEK,GA,30097,GWINNETT,(678) 474-7000,97,2,1,98,92,6,2,95,92,6,2,95,92,6,2,96,,2367,545,23,01/01/2019,12/31/2019
110233,SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PARKWAY,NEWNAN,GA,30265,COWETA,(404) 844-8334,99,1,0,100,94,5,1,97,95,4,1,97,95,3,2,97,,1139,280,25,01/01/2019,12/31/2019
111306,EFFINGHAM HEALTH SYSTEM,459 GA HIGHWAY 119 SOUTH,SPRINGFIELD,GA,31329,EFFINGHAM,(912) 754-0160,97,3,0,98,90,8,2,94,88,10,2,94,80,17,3,92,,1713,434,26,01/01/2019,12/31/2019
111312,OPTIM MEDICAL CENTER - SCREVEN,215 MIMS ROAD,SYLVANIA,GA,30467,SCREVEN,(912) 564-7426,90,9,1,94,90,6,4,93,74,19,7,89,68,30,2,89,,538,125,23,01/01/2019,12/31/2019
111320,HIGGINS GENERAL HOSPITAL,200 ALLEN MEMORIAL DRIVE,BREMEN,GA,30110,HARALSON,(770) 812-2000,,,,,,,,,,,,,,,,,4,,,,,
111323,OPTIM MEDICAL CENTER - TATTNALL,247 S MAIN STREET,REIDSVILLE,GA,30453,TATTNALL,(912) 557-1000,97,3,0,98,89,9,2,93,90,9,1,95,86,12,2,94,,1515,399,26,01/01/2019,12/31/2019
120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HONOLULU,(808) 538-9011,97,3,0,98,90,8,2,94,87,11,2,95,86,12,2,95,,2753,854,31,01/01/2019,12/31/2019
120005,HILO MEDICAL CENTER,1190 WAIANUENUE AVENUE,HILO,HI,96720,HAWAII,(808) 932-3000,96,4,0,98,90,8,2,94,82,16,2,93,80,18,2,92,,894,262,29,01/01/2019,12/31/2019
120011,KAISER FOUNDATION HOSPITAL,3288 MOANALUA RD,HONOLULU,HI,96819,HONOLULU,(808) 432-0000,97,3,0,98,91,8,1,95,87,12,1,95,87,11,2,95,,1975,691,36,01/01/2019,12/31/2019
120019,KONA COMMUNITY HOSPITAL,79-1019 HAUKAPILA STREET,KEALAKEKUA,HI,96750,HAWAII,(808) 322-9311,,,,,,,,,,,,,,,,,4,,,,,
120028,NORTH HAWAII COMMUNITY HOSPITAL,67 1125 MAMALAHOA HIGHWAY,KAMUELA,HI,96743,HAWAII,(808) 885-4444,95,4,1,97,92,7,1,96,86,12,2,94,86,12,2,95,,861,246,29,01/01/2019,12/31/2019
130002,ST LUKES MAGIC VALLEY MEDICAL CENTER,801 POLE LINE ROAD WEST,TWIN FALLS,ID,83301,TWIN FALLS,(208) 814-1000,97,3,0,98,91,7,2,95,83,14,3,93,75,22,3,90,,2241,651,29,01/01/2019,12/31/2019
130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,ADA,(208) 381-2222,96,3,1,98,90,8,2,94,86,12,2,94,85,13,2,94,,3044,921,30,01/01/2019,12/31/2019
130049,KOOTENAI HEALTH,2003 KOOTENAI HEALTH WAY,COEUR D'ALENE,ID,83814,KOOTENAI,(208) 625-4000,97,3,0,98,91,8,1,95,85,13,2,94,84,15,1,94,,2985,758,33,01/01/2019,12/31/2019
130063,TREASURE VALLEY HOSPITAL,8800 WEST EMERALD STREET,BOISE,ID,83704,ADA,(208) 373-5000,97,3,0,98,91,8,1,95,90,9,1,95,91,8,1,96,,4477,1490,33,01/01/2019,12/31/2019
130065,MOUNTAIN VIEW HOSPITAL,2325 CORONADO STREET,IDAHO FALLS,ID,83404,BONNEVILLE,(208) 557-2700,94,5,1,97,89,9,2,94,80,18,2,92,82,16,2,93,,1653,417,25,01/01/2019,12/31/2019
130071,ST LUKE'S NAMPA MEDICAL CENTER,9850 W ST LUKES DRIVE STE 250,NAMPA,ID,83687,CANYON,(208) 505-2000,97,3,0,99,92,7,1,95,88,12,0,96,89,10,1,96,,1481,417,28,01/01/2019,12/31/2019
131305,STEELE MEMORIAL MEDICAL CENTER,203 SOUTH DAISY STREET,SALMON,ID,83467,LEMHI,(208) 756-5600,98,2,0,99,96,3,1,97,83,15,2,93,78,19,3,91,2,407,121,30,01/01/2019,12/31/2019
131317,BENEWAH COMMUNITY HOSPITAL,229 SOUTH 7TH STREET,ST MARIES,ID,83861,BENEWAH,(208) 245-5551,,,,,,,,,,,,,,,,,4,,,,,
131318,VALOR HEALTH,1202 EAST LOCUST STREET,EMMETT,ID,83617,GEM,(208) 365-3561,98,2,0,99,92,8,0,96,82,17,1,94,77,22,1,92,,357,102,29,01/01/2019,12/31/2019
131319,MINIDOKA MEMORIAL HOSPITAL,1224 8TH STREET,RUPERT,ID,83350,MINIDOKA,(208) 436-0481,97,3,0,98,90,8,2,94,88,10,2,95,84,13,3,93,,548,203,37,01/01/2019,12/31/2019
131326,CASSIA REGIONAL HOSPITAL,1501 HILAND AVENUE,BURLEY,ID,83318,CASSIA,(208) 678-4444,97,3,0,98,93,6,1,96,86,12,2,94,73,25,2,90,,891,226,25,01/01/2019,12/31/2019
140013,PROCTOR HOSPITAL,5409 N KNOXVILLE AVE,PEORIA,IL,61614,PEORIA,(309) 691-1000,96,3,1,98,90,8,2,94,83,15,2,93,80,18,2,92,,1878,714,38,01/01/2019,12/31/2019
140015,BLESSING HOSPITAL,BROADWAY ST & N 11TH ST,QUINCY,IL,62305,ADAMS,(217) 223-1200,,,,,,,,,,,,,,,,,4,,,,,
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,(773) 542-2000,,,,,,,,,,,,,,,,,4,,,,,
140019,HSHS GOOD SHEPHERD HOSPITAL INC,200 S CEDAR ST,SHELBYVILLE,IL,62565,SHELBY,(217) 774-3961,95,5,0,98,85,13,2,92,82,18,0,92,67,33,0,89,3,200,58,30,01/01/2019,12/31/2019
140032,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE STREET,EFFINGHAM,IL,62401,EFFINGHAM,(217) 342-2121,97,3,0,99,90,9,1,94,84,14,2,93,76,22,2,91,,2734,1070,39,01/01/2019,12/31/2019
140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,62801,MARION,(618) 436-8000,98,2,0,99,90,8,2,94,86,11,3,94,78,20,2,91,,1100,299,27,01/01/2019,12/31/2019
140046,SSM HEALTH - GOOD SAMARITAN HOSPITAL,1 GOOD SAMARITAN WAY,MOUNT VERNON,IL,62864,JEFFERSON,(618) 899-1469,98,2,0,99,90,8,2,94,89,8,3,94,84,14,2,94,,808,215,27,01/01/2019,12/31/2019
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,(618) 465-2571,98,2,0,99,92,6,2,95,85,13,2,94,83,16,1,94,,3773,1055,29,01/01/2019,12/31/2019
140053,ST JOHNS HOSPITAL,800 E CARPENTER ST,SPRINGFIELD,IL,62769,SANGAMON,(217) 544-6464,96,4,0,98,90,8,2,94,86,11,3,94,83,14,3,93,,5845,2023,35,01/01/2019,12/31/2019
140054,MACNEAL  HOSPITAL,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,60402,COOK,(708) 783-9100,96,3,1,98,91,7,2,94,83,14,3,93,79,18,3,92,,2790,621,22,01/01/2019,12/31/2019
140064,ST MARY MEDICAL CENTER,3333 NORTH SEMINARY,GALESBURG,IL,61401,KNOX,(309) 344-3161,97,3,0,98,93,6,1,96,90,9,1,95,87,12,1,95,,1228,442,36,01/01/2019,12/31/2019
140067,SAINT FRANCIS MEDICAL CENTER,530 NE GLEN OAK AVE,PEORIA,IL,61637,PEORIA,(309) 655-2000,97,3,0,98,90,8,2,94,86,10,4,94,83,15,2,93,,2892,596,26,01/01/2019,12/31/2019
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,60637,COOK,(773) 702-1000,96,4,0,98,92,6,2,95,87,11,2,95,90,9,1,96,,2043,373,21,01/01/2019,12/31/2019
140089,MC DONOUGH DISTRICT HOSPITAL,525 EAST GRANT STREET,MACOMB,IL,61455,MC DONOUGH,(309) 833-4101,98,2,0,99,94,5,1,97,86,12,2,94,73,25,2,90,,2708,880,33,01/01/2019,12/31/2019
140093,OSF SACRED HEART MEDICAL CENTER,812 N LOGAN AVE,DANVILLE,IL,61832,VERMILION,(217) 443-5000,97,2,1,98,89,10,1,94,80,17,3,92,69,29,2,89,,1080,377,35,01/01/2019,12/31/2019
140095,SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,60623,COOK,(773) 521-1710,96,3,1,98,89,8,3,93,85,13,2,94,82,16,2,93,,1224,215,18,01/01/2019,12/31/2019
140100,MIDWESTERN REGION MED CENTER,2520 ELISHA AVENUE,ZION,IL,60099,LAKE,(847) 872-4561,99,1,0,99,96,4,0,98,94,5,1,98,98,1,1,98,,1085,354,33,01/01/2019,12/31/2019
140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,COOK,(773) 962-3900,91,6,3,94,85,10,5,90,64,25,11,86,62,31,7,83,,1118,155,14,01/01/2019,12/31/2019
140110,OTTAWA REGIONAL HOSPITAL DBA OSF SAINT ELIZABETH MDL CTR,1100 EAST NORRIS DRIVE,OTTAWA,IL,61350,LA SALLE,(815) 433-3100,96,4,0,98,92,7,1,95,82,15,3,93,73,24,3,90,,3253,1080,33,01/01/2019,12/31/2019
140113,OSF HEART OF MARY MEDICAL CENTER,1400 WEST PARK AVENUE,URBANA,IL,61801,CHAMPAIGN,(217) 337-2000,97,3,0,98,88,9,3,93,82,16,2,93,78,20,2,92,,1844,689,40,01/01/2019,12/31/2019
140116,NORTHWESTERN MEDICINE MCHENRY HOSPITAL,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,60050,MC HENRY,(815) 344-5000,,,,,,,,,,,,,,,,,4,,,,,
140120,PEKIN MEMORIAL HOSPITAL,600 SOUTH 13TH STREET,PEKIN,IL,61554,TAZEWELL,(309) 347-1151,97,2,1,98,91,7,2,95,78,17,5,91,71,26,3,89,,2645,720,27,01/01/2019,12/31/2019
140133,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,COOK,(773) 884-9000,,,,,,,,,,,,,,,,,4,,,,,
140135,DECATUR MEMORIAL HOSPITAL,2300 NORTH EDWARD STREET,DECATUR,IL,62526,MACON,(217) 876-8121,96,4,0,98,88,10,2,93,83,14,3,93,83,15,2,93,,3704,699,20,01/01/2019,12/31/2019
140137,HSHS HOLY FAMILY HOSPIAL INC,200 HEALTH CARE DR,GREENVILLE,IL,62246,BOND,(618) 664-1230,98,2,0,99,93,5,2,96,83,16,1,94,71,28,1,90,,523,177,34,01/01/2019,12/31/2019
140143,ST MARGARETS HOSPITAL,600 E 1ST ST,SPRING VALLEY,IL,61362,BUREAU,(815) 664-1176,97,3,0,98,90,8,2,94,85,12,3,94,83,14,3,93,,527,171,33,01/01/2019,12/31/2019
140145,ST JOSEPHS HOSPITAL,9515 HOLY CROSS LN,BREESE,IL,62230,CLINTON,(618) 526-4511,99,1,0,99,94,5,1,97,92,7,1,96,85,14,1,95,,2103,863,41,01/01/2019,12/31/2019
140147,RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST,OLNEY,IL,62450,RICHLAND,(618) 395-2131,97,2,1,98,93,6,1,96,85,13,2,94,80,19,1,93,,1279,284,23,01/01/2019,12/31/2019
140150,UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,60612,COOK,(312) 996-3900,94,5,1,97,91,8,1,95,78,17,5,91,78,17,5,90,,6125,925,15,01/01/2019,12/31/2019
140160,FHN MEMORIAL HOSPITAL,1045 WEST STEPHENSON STREET,FREEPORT,IL,61032,STEPHENSON,(815) 599-6000,97,3,0,99,91,7,2,94,79,16,5,91,68,28,4,88,,1488,530,36,01/01/2019,12/31/2019
140161,SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,PONTIAC,IL,61764,LIVINGSTON,(815) 842-2828,98,2,0,99,93,6,1,96,89,9,2,95,80,19,1,93,,1641,558,34,01/01/2019,12/31/2019
140162,ST JOSEPH MEDICAL CENTER,2200 E WASHINGTON,BLOOMINGTON,IL,61701,MC LEAN,(309) 662-3311,96,4,0,98,87,10,3,92,85,13,2,93,83,15,2,93,,1335,295,27,01/01/2019,12/31/2019
140166,ST MARYS HOSPITAL,1800 E LAKE SHORE DR,DECATUR,IL,62521,MACON,(217) 464-2966,97,3,0,99,92,6,2,95,84,13,3,93,85,13,2,94,,1691,473,28,01/01/2019,12/31/2019
140172,FRANCISCAN HEALTH OLYMPIA  FIELDS & CHICAGO HEIGHTS,20201 S CRAWFORD AVENUE,OLYMPIA FIELDS,IL,60461,COOK,(708) 747-4000,98,2,0,99,93,5,2,95,88,10,2,95,84,14,2,94,,1594,377,25,01/01/2019,12/31/2019
140179,LITTLE COMPANY OF MARY HOSPITAL,2800 W 95TH ST,EVERGREEN PARK,IL,60805,COOK,(708) 422-6200,97,3,0,98,90,8,2,94,85,13,2,94,80,18,2,92,,2757,806,29,01/01/2019,12/31/2019
140187,HSHS ST ELIZABETH'S HOSPITAL,ONE ST ELIZABETH BOULEVARD,O FALLON,IL,62269,ST. CLAIR,(618) 234-2120,97,3,0,98,92,7,1,95,89,9,2,95,85,13,2,94,,8823,2601,30,01/01/2019,12/31/2019
140189,SARAH BUSH LINCOLN HEALTH CENTER,1000 HEALTH CENTER DRIVE,MATTOON,IL,61938,COLES,(217) 258-2572,98,1,1,98,92,7,1,95,87,10,3,94,82,16,2,93,,1166,414,37,01/01/2019,12/31/2019
140200,ELMHURST MEMORIAL HOSPITAL,155 EAST BRUSH HILL ROAD,ELMHURST,IL,60126,DU PAGE,(331) 221-0130,98,2,0,99,93,6,1,96,90,8,2,96,90,9,1,96,,3946,1151,29,01/01/2019,12/31/2019
140209,METHODIST MEDICAL CENTER OF ILLINOIS,221 N E GLEN OAK AVE,PEORIA,IL,61636,PEORIA,(309) 672-5522,96,3,1,98,91,8,1,95,81,17,2,92,77,21,2,92,,2263,654,30,01/01/2019,12/31/2019
140231,EDWARD HOSPITAL,801 SOUTH WASHINGTON,NAPERVILLE,IL,60540,DU PAGE,(630) 527-3000,97,3,0,98,91,7,2,94,86,12,2,94,86,12,2,94,,4011,1094,27,01/01/2019,12/31/2019
140233,OSF SAINT ANTHONY MEDICAL CENTER,5666 EAST STATE STREET,ROCKFORD,IL,61108,WINNEBAGO,(815) 226-2000,97,2,1,98,91,8,1,95,85,13,2,94,84,14,2,94,,1597,448,31,01/01/2019,12/31/2019
140239,MERCYHEALTH HOSPITAL ROCKTON AVENUE,2400 NORTH ROCKTON AVENUE,ROCKFORD,IL,61103,WINNEBAGO,(815) 968-6861,96,3,1,98,90,8,2,94,79,17,4,93,77,20,3,91,,2308,560,24,01/01/2019,12/31/2019
140280,TRINITY - ROCK ISLAND,2701 17TH ST,ROCK ISLAND,IL,61201,ROCK ISLAND,(309) 779-5000,96,3,1,98,90,8,2,94,85,12,3,94,81,17,2,93,,3364,851,34,01/01/2019,12/31/2019
141318,OSF HOLY FAMILY MEDICAL CENTER,1000 W HARLEM AVENUE,MONMOUTH,IL,61462,WARREN,(309) 734-3141,98,2,0,99,93,5,2,96,86,13,1,95,83,16,1,94,,330,127,39,01/01/2019,12/31/2019
141329,MORRISON COMMUNITY HOSPITAL,303 N JACKSON STREET,MORRISON,IL,61270,WHITESIDE,(815) 772-4003,97,3,0,98,90,7,3,94,81,17,2,92,77,21,2,91,,889,206,23,01/01/2019,12/31/2019
141335,MERCY HARVARD HOSPITAL,901 S GRANT STREET,HARVARD,IL,60033,MC HENRY,(815) 943-5431,97,3,0,98,92,7,1,95,81,17,2,94,76,21,3,91,,1166,301,26,01/01/2019,12/31/2019
141336,ST JOSEPH'S HOSPITAL,12866 TROXLER AVENUE,HIGHLAND,IL,62249,MADISON,(618) 651-2600,98,2,0,99,94,5,1,96,90,8,2,95,86,13,1,95,,1486,547,37,01/01/2019,12/31/2019
141337,PERRY MEMORIAL HOSPITAL,530 PARK AVENUE EAST,PRINCETON,IL,61356,BUREAU,(815) 875-2811,97,3,0,99,88,10,2,93,84,14,2,93,76,22,2,91,,555,202,37,01/01/2019,12/31/2019
141350,ST FRANCIS HOSPITAL,1215 FRANCISCAN DR,LITCHFIELD,IL,62056,MONTGOMERY,(217) 324-2191,99,1,0,99,95,5,0,97,91,8,1,95,85,14,1,95,,1736,579,33,01/01/2019,12/31/2019
150002,METHODIST HOSPITALS INC,600 GRANT ST,GARY,IN,46402,LAKE,(219) 886-4000,93,6,1,96,87,8,5,91,73,19,8,89,65,28,7,85,3,1568,89,17,01/01/2019,12/31/2019
150004,FRANCISCAN ST. MARGARET HEALTH HAMMOND,5454 HOHMAN AVE,HAMMOND,IN,46320,LAKE,(219) 932-2300,97,2,1,98,92,6,2,95,84,13,3,94,80,18,2,92,,801,176,22,01/01/2019,12/31/2019
150005,HENDRICKS REGIONAL HEALTH,1000 E MAIN ST,DANVILLE,IN,46122,HENDRICKS,(317) 745-4451,97,2,1,98,92,6,2,95,92,7,1,96,95,5,0,98,,1636,265,16,01/01/2019,12/31/2019
150015,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,3500 FRANCISCAN WAY,MICHIGAN CITY,IN,46360,LA PORTE,(219) 879-8511,98,2,0,99,91,7,2,95,88,9,3,95,83,16,1,94,,2578,598,28,01/01/2019,12/31/2019
150022,FRANCISCAN HEALTH CRAWFORDSVILLE,1710 LAFAYETTE RD,CRAWFORDSVILLE,IN,47933,MONTGOMERY,(765) 362-2800,98,2,0,99,95,5,0,97,92,7,1,96,87,12,1,95,,596,177,34,01/01/2019,12/31/2019
150030,HENRY COUNTY MEMORIAL HOSPITAL,1000 N 16TH ST,NEW CASTLE,IN,47362,HENRY,(765) 521-0890,98,2,0,99,93,6,1,96,91,8,1,96,84,14,2,94,,1626,614,38,01/01/2019,12/31/2019
150037,HANCOCK REGIONAL HOSPITAL,801 N STATE ST,GREENFIELD,IN,46140,HANCOCK,(317) 462-5544,98,2,0,99,92,6,2,95,86,13,1,95,87,12,1,95,,1358,333,25,01/01/2019,12/31/2019
150045,DEKALB HEALTH,1316 E SEVENTH ST,AUBURN,IN,46706,DE KALB,(260) 925-4600,98,2,0,99,92,6,2,95,86,13,1,94,77,21,2,92,,1191,433,36,01/01/2019,12/31/2019
150065,SCHNECK MEDICAL CENTER,411 W TIPTON ST,SEYMOUR,IN,47274,JACKSON,(812) 522-2349,97,3,0,98,93,5,2,96,91,7,2,95,84,14,2,94,,3233,831,26,01/01/2019,12/31/2019
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,(812) 801-0105,96,4,0,98,90,8,2,94,83,14,3,93,76,22,2,91,,1215,352,29,01/01/2019,12/31/2019
150086,DEARBORN COUNTY HOSPITAL,600 WILSON CREEK RD,LAWRENCEBURG,IN,47025,DEARBORN,(812) 537-1010,99,1,0,99,93,5,2,95,85,13,2,94,77,22,1,92,,1207,367,30,01/01/2019,12/31/2019
150090,FRANCISCAN HEALTH DYER,24 JOLIET ST,DYER,IN,46311,LAKE,(219) 865-2141,97,3,0,98,89,9,2,93,83,13,4,93,78,19,3,91,,1697,414,25,01/01/2019,12/31/2019
150109,FRANCISCAN HEALTH LAFAYETTE,1701 S CREASY LN,LAFAYETTE,IN,47905,TIPPECANOE,(765) 502-4334,99,1,0,99,93,6,1,96,92,6,2,96,89,11,0,96,,422,142,35,01/01/2019,12/31/2019
150115,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,800 W 9TH ST,JASPER,IN,47546,DUBOIS,(812) 996-2345,98,2,0,99,91,8,1,95,89,10,1,95,85,13,2,94,,663,252,38,01/01/2019,12/31/2019
150126,FRANCISCAN HEALTH CROWN POINT,1201 S MAIN ST,CROWN POINT,IN,46307,LAKE,(219) 757-6100,98,2,0,99,91,7,2,94,88,10,2,95,83,16,1,94,,1710,549,33,01/01/2019,12/31/2019
150160,"INDIANA ORTHOPAEDIC HOSPITAL, LLC",8400 NORTHWEST BLVD,INDIANAPOLIS,IN,46278,MARION,(317) 956-1000,98,2,0,99,91,8,1,95,94,6,0,97,93,6,1,97,,1439,525,37,01/01/2019,12/31/2019
150162,FRANCISCAN HEALTH INDIANAPOLIS,8111 S EMERSON AVE,INDIANAPOLIS,IN,46237,MARION,(317) 528-5000,98,2,0,99,92,6,2,95,91,8,1,96,87,12,1,95,,4694,858,22,01/01/2019,12/31/2019
150165,FRANCISCAN HEALTH MUNSTER,701 SUPERIOR AVE,MUNSTER,IN,46321,LAKE,(219) 922-4200,98,2,0,99,91,7,2,95,87,11,2,95,85,13,2,94,,2211,708,32,01/01/2019,12/31/2019
150166,PINNACLE HOSPITAL,9301 CONNECTICUT DR,CROWN POINT,IN,46307,LAKE,(219) 756-2100,98,2,0,99,89,9,2,93,85,15,0,95,87,13,0,96,,287,102,36,01/01/2019,12/31/2019
151317,GREENE COUNTY GENERAL HOSPITAL,1185 N 1000 W,LINTON,IN,47441,GREENE,(812) 847-2281,97,2,1,98,92,7,1,95,84,12,4,94,80,16,4,91,,536,132,25,01/01/2019,12/31/2019
151324,"FRANCISCAN HEALTH RENSSELAER, INC",1104 E GRACE ST,RENSSELAER,IN,47978,JASPER,(219) 866-5141,98,2,0,99,92,8,0,96,85,15,0,95,72,28,0,90,3,250,64,27,01/01/2019,12/31/2019
151327,SULLIVAN COUNTY COMMUNITY HOSPITAL,2200 N SECTION ST,SULLIVAN,IN,47882,SULLIVAN,(812) 268-4311,98,2,0,99,94,5,1,97,90,9,1,96,85,15,0,95,,1103,335,34,01/01/2019,12/31/2019
151330,ADAMS MEMORIAL HOSPITAL,1100 MERCER AVE,DECATUR,IN,46733,ADAMS,(260) 724-2145,97,3,0,98,90,8,2,94,85,12,3,94,76,23,1,91,,1096,453,41,01/01/2019,12/31/2019
151332,DECATUR COUNTY MEMORIAL HOSPITAL,720 N LINCOLN ST,GREENSBURG,IN,47240,DECATUR,(812) 663-4331,99,1,0,99,90,8,2,94,86,12,2,94,76,23,1,92,2,1278,309,31,01/01/2019,12/31/2019
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 S 4TH AVE,MARSHALLTOWN,IA,50158,MARSHALL,(641) 754-5151,98,2,0,99,91,8,1,95,86,12,2,94,80,18,2,92,,2942,1195,41,01/01/2019,12/31/2019
160005,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,311 SOUTH CLARK STREET,CARROLL,IA,51401,CARROLL,(712) 792-3581,,,,,,,,,,,,,,,,,4,,,,,
160008,UNITYPOINT HEALTH - KEOKUK,1600 MORGAN STREET,KEOKUK,IA,52632,LEE,(319) 524-7150,98,2,0,99,94,5,1,96,78,20,2,92,72,25,3,89,,441,170,40,01/01/2019,12/31/2019
160013,TRINITY MUSCATINE,1518 MULBERRY AVENUE,MUSCATINE,IA,52761,MUSCATINE,(563) 264-9100,98,2,0,99,93,6,1,96,82,15,3,93,76,22,2,91,,1830,481,28,01/01/2019,12/31/2019
160016,TRINITY REGIONAL MEDICAL CENTER,802 KENYON RD,FORT DODGE,IA,50501,WEBSTER,(515) 573-3101,96,4,0,98,90,8,2,94,80,15,5,92,74,24,2,90,,3636,998,30,01/01/2019,12/31/2019
160029,MERCY HOSPITAL,500 E MARKET STREET,IOWA CITY,IA,52245,JOHNSON,(319) 339-0300,,,,,,,,,,,,,,,,,4,,,,,
160045,ST LUKES HOSPITAL,1026 A AVE NE,CEDAR RAPIDS,IA,52402,LINN,(319) 369-7211,97,3,0,98,91,7,2,95,84,13,3,93,82,16,2,93,,1836,538,33,01/01/2019,12/31/2019
160079,MERCY MEDICAL CENTER - CEDAR RAPIDS,701 10TH STREET SE,CEDAR RAPIDS,IA,52403,LINN,(319) 398-6011,97,3,0,98,91,8,1,95,87,11,2,94,85,14,1,94,,3321,1042,32,01/01/2019,12/31/2019
160082,UNITYPOINT HEALTH - DES MOINES IOWA METHODIST MEDI,1200 PLEASANT STREET,DES MOINES,IA,50309,POLK,(515) 241-6212,97,3,0,99,90,8,2,94,86,12,2,94,85,14,1,94,,11665,3638,32,01/01/2019,12/31/2019
160104,TRINITY - BETTENDORF,4500 UTICA RIDGE ROAD,BETTENDORF,IA,52722,SCOTT,(563) 742-5000,97,3,0,98,90,8,2,94,85,13,2,93,80,18,2,93,,2574,526,26,01/01/2019,12/31/2019
160110,ALLEN HOSPITAL,1825 LOGAN AVENUE,WATERLOO,IA,50703,BLACK HAWK,(319) 235-3941,97,3,0,98,90,8,2,94,85,13,2,93,82,17,1,94,,6735,2386,36,01/01/2019,12/31/2019
160112,SPENCER MUNICIPAL HOSPITAL,1200 1ST AVENUE EAST,SPENCER,IA,51301,CLAY,(712) 264-8300,98,2,0,99,91,8,1,95,86,12,2,93,83,16,1,94,,1245,529,43,01/01/2019,12/31/2019
160117,FINLEY HOSPITAL,350 NORTH GRANDVIEW AVENUE,DUBUQUE,IA,52001,DUBUQUE,(563) 582-1881,98,2,0,99,92,7,1,95,88,10,2,95,85,14,1,95,,3744,1654,45,01/01/2019,12/31/2019
160122,FORT MADISON COMMUNITY HOSPITAL,5445 AVE O,FORT MADISON,IA,52627,LEE,(319) 372-6530,99,1,0,99,95,4,1,97,89,9,2,95,83,16,1,94,,1455,529,36,01/01/2019,12/31/2019
