Data.Medicare.gov location affected,Downloadable CSV revised file affected,Data Last Updated,Data Last Updated Details
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Timely-and-Effectiv/ptds-r8im,Veterans Health Administration Timely and Effective Care Data,22-Jul-20,No Updates
https://data.cms.gov/provider-data/dataset/4jcv-atw7,Ambulatory Surgical Measures-Facility,22-Apr-20,Data Refreshed; No updates IMM-3; Retired OP-5
https://data.cms.gov/provider-data/dataset/wue8-3vwe,Ambulatory Surgical Measures-National,22-Apr-20,
https://data.cms.gov/provider-data/dataset/axe7-s95e,Ambulatory Surgical Measures-State,22-Apr-20,ASC-12 refreshed; remaning ASC measures were not refreshed
https://data.cms.gov/provider-data/dataset/ynj2-r877,Complications and Deaths- Hospital,22-Apr-20,ASC-12 refreshed; remaning ASC measures were not refreshed
https://data.cms.gov/provider-data/dataset/qqw3-t4ie,Complications and Deaths - National,22-Apr-20,ASC-12 refreshed; remaning ASC measures were not refreshed
https://.data.cms.gov/provider-data/dataset/bs2r-24vh,Complications and Deaths- State,22-Apr-20,Retired PCH-3; dataset removed
https://data.cms.gov/provider-data/dataset/tqkv-mgxq,Comprehensive Care For Joint Replacement Model - Provider Data,22-Apr-20,"Retired the CEBP-1, CEBP-2, CEBP-3, CEBP-4, CEBP-5, and CEBP-6; dataset removed"
https://data.cms.gov/provider-data/dataset/bzsr-4my4,Data Updates,22-Apr-20,"Retired the CEBP-1, CEBP-2, CEBP-3, CEBP-4, CEBP-5, and CEBP-6; dataset removed"
https://data.cms.gov/provider-data/dataset/y9us-9xdf,Footnote Crosswalk,22-Apr-20,"Retired the CEBP-1, CEBP-2, CEBP-3, CEBP-4, CEBP-5, and CEBP-6; dataset removed"
https://data.cms.gov/provider-data/dataset/77hc-ibv8,Healthcare Associated Infections - Hospital,22-Apr-20,"Retired the CEBP-1, CEBP-2, CEBP-3, CEBP-4, CEBP-5, and CEBP-6; dataset removed"
https://data.cms.gov/provider-data/dataset/yd3s-jyhd,Healthcare Associated Infections - National,22-Apr-20,"Retired the CEBP-1, CEBP-2, CEBP-3, CEBP-4, CEBP-5, and CEBP-6; dataset removed"
https://data.cms.gov/provider-data/dataset/k2ze-bqvw,Healthcare Associated Infections - State,22-Apr-20,Open/Close list applied
https://data.cms.gov/provider-data/dataset/yq43-i98g,Hospital-Acquired Condition Reduction Program,22-Apr-20,Open/Close list applied
https://data.cms.gov/provider-data/dataset/akfs-5dgr,Hospital ACS Measures,22-Apr-20,Open/Close list applied
https://data.cms.gov/provider-data/dataset/su86-ag6b,Hospital Compare- Casper/ASPEN Contacts,22-Apr-20,No updates
https://data.cms.gov/provider-data/dataset/xubh-q36u,Hospital General Information,22-Apr-20,Updated
https://data.cms.gov/provider-data/dataset/9n3s-kdb3,Hospital Readmissions Reduction Program,22-Apr-20,DoD has been included in the Timely and Effective Care datasets; dataset removed
https://data.cms.gov/provider-data/dataset/pudb-wetr,Hospital Value-Based Purchasing (HVBP)- Clinical Care Outcomes Scores,22-Apr-20,DoD has been included in the HCAHPS datasets; dataset removed
https://data.cms.gov/provider-data/dataset/su9h-3pvj,Hospital Value-Based Purchasing (HVBP)- Efficiency Scores,22-Apr-20,No Updates
https://data.cms.gov/provider-data/dataset/avtz-f2ge,Hospital Value-Based Purchasing (HVBP)- Patient Experience of Care Domain Scores (HCAHPS),22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/dgmq-aat3,Hospital Value-Based Purchasing (HVBP)- Safety,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/ypbt-wvdk,Hospital Value-Based Purchasing (HVBP)- Total Performance Score,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/q9vs-r7wp,Inpatient Psychiatric Facility Quality Measure Data – by Facility,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/dc76-gh7x,Inpatient Psychiatric Facility Quality Measure Data – by State,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/s5xg-sys6,Inpatient Psychiatric Facility Quality Measure Data – National ,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/4j6d-yzce,Measure Dates,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/nrth-mfg3,Medicare Hospital Spending by Claim,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/rrqw-56er,Medicare Spending Per Beneficiary – Hospital,22-Apr-20,Data Refreshed; data set renamed in DDBs
https://data.cms.gov/provider-data/dataset/5hk7-b79m,Medicare Spending Per Beneficiary – Hospital Additional Decimal Places,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/3n5g-6b7f,Medicare Spending Per Beneficiary– National,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/rs6n-9qwg,Medicare Spending Per Beneficiary – State,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/g3fg-3myg,Oncology Care Measures-PPS- Excempt Cancer Hospital,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/e6hj-umam,Outpatient and Ambulatory Surgery CAHPS Survey Footnotes,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/48nr-hqxx,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers – Facility ,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/tf3h-mrrs,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - National,22-Apr-20,Data Refreshed
https://data.cms.gov/provider-data/dataset/x663-bwbj,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - State,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/yizn-abxn,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - Facility,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/s5pj-hua3,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - National,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/6pfg-whmx,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - State,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/wkfw-kthe,Outpatient Imaging Efficiency - Hospital,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/di9i-zzrc,Outpatient Imaging Efficiency - National,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/if5v-4x48,Outpatient Imaging Efficiency - State,22-Apr-20,No Updates
https://data.cms.gov/provider-data/dataset/dgck-syfz,Patient survey (HCAHPS) - Hospital,22-Apr-20,Data refreshed 
https://data.cms.gov/provider-data/dataset/99ue-w85f,Patient survey (HCAHPS)  - National.csv,22-Apr-20,Data refreshed 
https://data.cms.gov/provider-data/dataset/84jm-wiui,Patient survey (HCAHPS) - State.csv,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/iy27-wz37,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - Hospital ,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/9g7e-btyt,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - National,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/qatj-nmws,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - State,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/k653-4ka8,Safety and Health-Care Associated Measures – PPS-Exempt Cancer Hospital,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/c7us-v4mf,Payment and Value of Care - Hospital,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/ygty-mm5a,Payment - National,22-Apr-20,Open/Close list applied
https://data.cms.gov/provider-data/dataset/98ix-2iqy,Payment - State,22-Apr-20,Open/Close list applied
https://data.cms.gov/provider-data/dataset/p7bc-fjpi,Prospective Payment System (PPS)-Exempt Cancer Hospital Quality Reporting (PCHQR) ,22-Apr-20,Open/Close list applied
https://data.cms.gov/provider-data/dataset/muwa-iene,PSI 90 and Component Measures - Six-Digit Precision,22-Apr-20,Retired OP-26; dataset removed
https://data.cms.gov/provider-data/dataset/g3fg-3myg,Outcome Measures – PPS-Exempt Cancer Hospital - Hospital,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/jfnd-nl7s,Outcome Measures – PPS-Exempt Cancer Hospital - National,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/4hje-vua3,Structural Measures - Hospital,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/5gv4-jwyv,Table 1: FY2018 Net Change in Base Operating DRG Payment Amount,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/xrgf-x36b,Table 2: FY2018 Distribution of Net Change in Base Operating DRG Payment Amount,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/u625-zae7,Table 3: FY2018 Percent Change in Medicare Payments,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/vtqa-m4zn,Table 4: FY2018 Value-Based Incentive Payment Amount,22-Apr-20,Data refreshed except PCH-28
https://data.cms.gov/provider-data/dataset/yv7e-xc69,Timely and effective care - Hospital,22-Apr-20,Open/Close list applied
https://data.cms.gov/provider-data/dataset/isrn-hqyy,Timely and Effective Care - National,22-Apr-20,Open/Close list applied
https://data.cms.gov/provider-data/dataset/apyc-v239,Timely and Effective Care - State,22-Apr-20,Open/Close list applied
https://data.cms.gov/provider-data/dataset/632h-zaca,Unplanned Hospital Visits - Hospital,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/cvcs-xecj,Unplanned Hospital Visits - National ,22-Apr-20,Open/Close list applied
https://data.cms.gov/provider-data/dataset/4gkm-5ypv,Unplanned Hospital Visits - State,22-Apr-20,New PCH dataset; PCH-30 and PCH-31
https://data.cms.gov/provider-data/dataset/gbq5-7hzr,Value of Care- National,22-Apr-20,New PCH dataset; PCH-30 and PCH-31
https://data.cms.gov/provider-data/dataset/6qxe-iqz8,Veterans Health Administration Behavioral Health Data,22-Apr-20,"Open/Close list applied; retired SM-5, SM-6, and OP-25"
https://data.cms.gov/provider-data/dataset/4aav-bsmy,Veterans Health Administration Measure Dates,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/esr2-9zyn,Veterans Health Administration Patient Safety Indicators Data,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/uyx4-5s7f,Veterans Health Administration Provider Level Data,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/94w6-h55e,Veterans Health Administration Readmissions and Deaths COPD Data,22-Apr-20,Data refreshed
https://data.cms.gov/provider-data/dataset/ptds-r8im,Veterans Health Administration Timely and Effective Care Data,22-Apr-20,"Data refreshed; no updates to IMM-3; retired ED-1b, VTE-6, IMM-2, OP-25, and OP-26; new measures Severe Sepsis and Septic Shock 3-hr and 6-hr bundle data - only available in DDBs"
Archived datasets from Hospital Compare site,,,"Data refreshed; no updates to IMM-3; retired ED-1b, VTE-6, IMM-2, OP-25, and OP-26; new measures Severe Sepsis and Septic Shock 3-hr and 6-hr bundle data - only available in DDBs"
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-Facility/4jcv-atw7,Ambulatory Surgical Measures-Facility,29-Jan-20,"Data refreshed; no updates to IMM-3; retired ED-1b, VTE-6, IMM-2, OP-25, and OP-26; new measures Severe Sepsis and Septic Shock 3-hr and 6-hr bundle data - only available in DDBs"
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-National/wue8-3vwe ,Ambulatory Surgical Measures-National,29-Jan-20,"Open/Close list applied; refreshed OP-32; new measures OP-35-ADM, OP-35-ED, and OP-36"
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-State/axe7-s95e,Ambulatory Surgical Measures-State,29-Jan-20,"Open/Close list applied; refreshed OP-32; new measures OP-35-ADM, OP-35-ED, and OP-36"
,Cancer Treatment Measures- PPS-Excempt Cancer Hospital,29-Jan-20,"Open/Close list applied; refreshed OP-32; new measures OP-35-ADM, OP-35-ED, and OP-36"
,Clinical Episode-Based Payment - 6 Decimals,29-Jan-20,No updates
,Clinical Episode-Based Payment - by Facility,29-Jan-20,"Data refreshed; retired SUB-1, TOB-1; new measure SUB-3"
,Clinical Episode-Based Payment - by State,29-Jan-20,Data refreshed
,Clinical Episode-Based Payment - National,29-Jan-20,No updates
,Clinical Episode-Based Payment - Breakdown by Claim Type,29-Jan-20,No updates
 https://data.medicare.gov/Hospital-Compare/Complications-and-Deaths-Hospital/ynj2-r877,Complications and Deaths- Hospital,29-Jan-20,No updates
https://data.medicare.gov/Hospital-Compare/Complications-and-Deaths-National/qqw3-t4ie,Complications and Deaths - National,29-Jan-20,"Data refreshed except IMM-3; retired ED-1b, IMM-2, and VTE-6"
https://data.medicare.gov/Hospital-Compare/Complications-and-Deaths-State/bs2r-24vh,Complications and Deaths- State,29-Jan-20,Data refreshed; new measures ASC-13 and ASC-14; ASC-12 not refreshed; retired ASC-08
https://data.medicare.gov/Hospital-Compare/Comprehensive-Care-For-Joint-Replacement-Model-Pro/tqkv-mgxq,Comprehensive Care For Joint Replacement Model - Provider Data,29-Jan-20,Data refreshed; new measures ASC-13 and ASC-14; ASC-12 not refreshed; retired ASC-08
https://data.medicare.gov/Hospital-Compare/Data-Updates/bzsr-4my4,Data Updates,29-Jan-20,Data refreshed; new measures ASC-13 and ASC-14; ASC-12 not refreshed; retired ASC-08
https://data.medicare.gov/Hospital-Compare/Department-of-Defense-Timely-Effective-Care-Data-m/azt5-rvvx,Department of Defense Timely &Effective Care Data- military hospitals,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Department-of-Defense-TRICARE-Inpatient-Satisfacti/5ff8-7qi2,Department of Defense TRICARE Inpatient Satisfaction Survey (TRISS) Data- military hospitals,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Footnote-Crosswalk/y9us-9xdf,Footnote Crosswalk,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Healthcare-Associated-Infections-Hospital/77hc-ibv8,Healthcare Associated Infections - Hospital,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Healthcare-Associated-Infections-National/yd3s-jyhd,Healthcare Associated Infections - National,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Healthcare-Associated-Infections-State/k2ze-bqvw,Healthcare Associated Infections - State,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Hospital-Acquired-Condition-Reduction-Program/yq43-i98g,Hospital-Acquired Condition Reduction Program,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Hospital-ACS-Measures/akfs-5dgr,Hospital ACS Measures,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Hospital-Compare-CASPER-ASPEN-Contacts/su86-ag6b,Hospital Compare- Casper/ASPEN Contacts,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Hospital-General-Information/xubh-q36u,Hospital General Information,29-Jan-20,Data refreshed 
https://data.medicare.gov/Hospital-Compare/Hospital-Readmissions-Reduction-Program/9n3s-kdb3,Hospital Readmissions Reduction Program,29-Jan-20,Updated
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Clinical-Care/pudb-wetr,Hospital Value-Based Purchasing (HVBP)- Clinical Care Outcomes Scores,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Efficiency-Sc/su9h-3pvj,Hospital Value-Based Purchasing (HVBP)- Efficiency Scores,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Patient-Exper/avtz-f2ge,Hospital Value-Based Purchasing (HVBP)- Patient Experience of Care Domain Scores (HCAHPS),29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Safety/dgmq-aat3,Hospital Value-Based Purchasing (HVBP)- Safety,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Total-Perform/ypbt-wvdk,Hospital Value-Based Purchasing (HVBP)- Total Performance Score,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Inpatient-Psychiatric-Facility-Quality-Measure-Dat/q9vs-r7wp,Inpatient Psychiatric Facility Quality Measure Data – by Facility,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Inpatient-Psychiatric-Facility-Quality-Measure-Dat/dc76-gh7x,Inpatient Psychiatric Facility Quality Measure Data – by State,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Inpatient-Psychiatric-Facility-Quality-Measure-Dat/s5xg-sys6,Inpatient Psychiatric Facility Quality Measure Data – National ,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Measure-Dates/4j6d-yzce,Measure Dates,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-by-Claim/nrth-mfg3,Medicare Hospital Spending by Claim,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-Per-Patient-Hospital/rrqw-56er,Medicare Spending Per Beneficiary – Hospital,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Medicare-hospital-spending-per-patient-Medicare-Sp/5hk7-b79m,Medicare Spending Per Beneficiary – Hospital Additional Decimal Places,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-Per-Patient-National/3n5g-6b7f,Medicare Spending Per Beneficiary– National,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-Per-Patient-State/rs6n-9qwg,Medicare Spending Per Beneficiary – State,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Oncology-Care-Measures-PPS-Exempt-Cancer-Hospital/g3fg-3myg,Oncology Care Measures-PPS- Excempt Cancer Hospital,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-CAHPS-Survey-Foo/e6hj-umam,Outpatient and Ambulatory Surgery CAHPS Survey Footnotes,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-CAHPS-Survey-mea/xzuw-fups,Outpatient and Ambulatory Surgery CAHPS Survey measure label crosswalk,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/48nr-hqxx,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers – Facility ,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/tf3h-mrrs,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - National,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/x663-bwbj,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - State,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/yizn-abxn,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - Facility,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/s5pj-hua3,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - National,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/6pfg-whmx,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - State,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-Hospital/wkfw-kthe,Outpatient Imaging Efficiency - Hospital,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-National/di9i-zzrc,Outpatient Imaging Efficiency - National,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-State/if5v-4x48,Outpatient Imaging Efficiency - State,29-Jan-20,No Updates
,Outpatient Procedures - Volume,29-Jan-20,Data refreshed 
https://data.medicare.gov/Hospital-Compare/Patient-survey-HCAHPS-Hospital/dgck-syfz,Patient survey (HCAHPS) - Hospital,29-Jan-20,Data refreshed 
https://data.medicare.gov/Hospital-Compare/Patient-survey-HCAHPS-National/nsaf-d4nh/data,Patient survey (HCAHPS)  - National.csv,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Patient-survey-HCAHPS-State/499t-8gqf/data,Patient survey (HCAHPS) - State.csv,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Patient-Survey-PCH-HCAHPS-PPS-exempt-Cancer-Hospit/iy27-wz37,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - Hospital ,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Patient-Survey-PCH-HCAHPS-PPS-exempt-Cancer-Hospit/9g7e-btyt,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - National,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Patient-Survey-PCH-HCAHPS-PPS-exempt-Cancer-Hospit/qatj-nmws,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - State,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Safety-and-Health-Care-Associated-Measures-PPS-Exe/k653-4ka8,Safety and Health-Care Associated Measures – PPS-Exempt Cancer Hospital,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Payment-and-value-of-care-Hospital/c7us-v4mf,Payment and Value of Care - Hospital,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Payment-National/ygty-mm5a,Payment - National,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Payment-State/98ix-2iqy,Payment - State,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Prospective-Payment-System-PPS-Exempt-Cancer-Hospi/p7bc-fjpi,Prospective Payment System (PPS)-Exempt Cancer Hospital Quality Reporting (PCHQR) ,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/PSI-90-and-Component-Measures-Six-Digit-Precision/muwa-iene,PSI 90 and Component Measures - Six-Digit Precision,29-Jan-20,Data refreshed
,Outcome Measures – PPS-Exempt Cancer Hospital - Hospital,30-Jan-20,Data refreshed
,Outcome Measures – PPS-Exempt Cancer Hospital - National,31-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Structural-Measures-Hospital/4hje-vua3,Structural Measures - Hospital,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Table-2-FY2016-Distribution-of-Net-Change-in-Base-/xrgf-x36b,Table 1: FY2018 Net Change in Base Operating DRG Payment Amount,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Table-1-FY2016-Net-Change-in-Base-Operating-DRG-Pa/5gv4-jwyv,Table 2: FY2018 Distribution of Net Change in Base Operating DRG Payment Amount,29-Jan-20,Data refreshed
https://data.medicare.gov/Hospital-Compare/Table-3-FY2016-Percent-Change-in-Medicare-Payments/u625-zae7,Table 3: FY2018 Percent Change in Medicare Payments,29-Jan-20,"New PCH dataset; PCH-06, PCH-07, PCH-27, PCH-26, PCH-28"
https://data.medicare.gov/Hospital-Compare/Table-4-FY2016-Value-Based-Incentive-Payment-Amoun/vtqa-m4zn,Table 4: FY2018 Value-Based Incentive Payment Amount,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Timely-and-Effective-Care-Hospital/yv7e-xc69,Timely and effective care - Hospital,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Timely-and-Effective-Care-National/isrn-hqyy,Timely and Effective Care - National,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Timely-and-Effective-Care-State/apyc-v239,Timely and Effective Care - State,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Unplanned-Hospital-Visits-Hospital/632h-zaca,Unplanned Hospital Visits - Hospital,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Unplanned-Hospital-Visits-National/cvcs-xecj,Unplanned Hospital Visits - National ,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Unplanned-Hospital-Visits-State/4gkm-5ypv,Unplanned Hospital Visits - State,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Value-of-care-National/gbq5-7hzr,Value of Care- National,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Behavioral-Health-D/6qxe-iqz8,Veterans Health Administration Behavioral Health Data,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Measure-Dates/4aav-bsmy,Veterans Health Administration Measure Dates,29-Jan-20,No Updates
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Patient-Safety-Indi/esr2-9zyn,Veterans Health Administration Patient Safety Indicators Data,29-Jan-20,"Data refreshed; no updates to measures EDV-1, IMM 2, OP 33, OP 22, OP 29 and OP 30"
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Provider-Level-Data/uyx4-5s7f,Veterans Health Administration Provider Level Data,29-Jan-20,"Data refreshed; no updates to measures EDV-1, IMM 2, OP 33, OP 22, OP 29 and OP 30"
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Readmissions-and-De/94w6-h55e,Veterans Health Administration Readmissions and Deaths COPD Data,29-Jan-20,"Data refreshed; no updates to measures EDV-1, IMM 2, OP 33, OP 22, OP 29 and OP 30"
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Timely-and-Effectiv/ptds-r8im,Veterans Health Administration Timely and Effective Care Data,29-Jan-20,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-Facility/4jcv-atw7,Ambulatory Surgical Measures-Facility,30-Oct-19,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-National/wue8-3vwe ,Ambulatory Surgical Measures-National,30-Oct-19,Open/Close list applied
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-State/axe7-s95e,Ambulatory Surgical Measures-State,30-Oct-19,No Updates
https://data.medicare.gov/Hospital-Compare/Cancer-Treatment-Measures-PPS-Exempt-Cancer-Hospit/42wc-33ci,Cancer Treatment Measures- PPS-Excempt Cancer Hospital,30-Oct-19,No Updates
,Clinical Episode-Based Payment - 6 Decimals,30-Oct-19,Data refreshed
https://data.medicare.gov/Hospital-Compare/Clinical-Episode-Based-Payment-Hospital/jucd-knau/data?firstRun=true,Clinical Episode-Based Payment - by Facility,30-Oct-19,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Clinical-Episode-Based-Payment-State/j9zm-cdbi/data?firstRun=true,Clinical Episode-Based Payment - by State,30-Oct-19,No Updates
