"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
10C0001505,LAKE ENDOSCOPY CENTER,17355 S.E. 109TH TERRACE RD,SUMMERFIELD,FL,34491,,(352) 245-0846,97,3,0,98,92,6,2,95,92,6,2,96,90,9,1,96,,911,446,49,01/01/2022,12/31/2022
10C0001512,TLC ASC LLC DBA TLC OUTPATIENT SURGERY AND LASER CENTER,201 WEST GUAVA ST,LADY LAKE,FL,32159,,(352) 391-5875,98,2,0,99,89,9,2,93,91,8,1,96,87,11,2,95,,928,491,53,01/01/2022,12/31/2022
10C0001521,RIVERWALK AMBULATORY SURGERY CENTER,200 3RD AVE WEST SUITE 170,BRADENTON,FL,34205,,(941) 220-6786,96,4,0,98,86,11,3,92,82,15,3,93,83,16,1,94,,959,356,37,01/01/2022,12/31/2022
10C0001528,CORAL RIDGE OUTPATIENT CENTER LLC,5301 NORTH DIXIE HWY.,OAKLAND PARK,FL,33334,,(954) 832-3300,96,4,0,98,91,6,3,94,86,11,3,94,85,12,3,94,,1240,341,28,01/01/2022,12/31/2022
10C0001539,SURGERY CENTER OF PEMBROKE PINES LLC DBA BROWARD SPECIALTY SURGICAL CENTER,7261 SHERIDAN ST SUITE 100A,HOLLYWOOD,FL,33024,,(954) 322-4222,99,1,0,99,88,9,3,93,88,10,2,95,86,11,3,94,,1556,300,19,01/01/2022,12/31/2022
10C0001545,SURGICARE OF MIRAMAR LLC,14601 SOUTHWEST 29TH ST SUITE 301,MIRAMAR,FL,33027,,(954) 266-3807,98,2,0,99,93,5,2,96,94,5,1,97,94,5,1,97,,1740,322,19,01/01/2022,12/31/2022
10C0001549,TITUSVILLE CENTER FOR SURGICAL EXCELLENCE LLC,814 SOUTH WASHIGNTON AVE,TITUSVILLE,FL,32796,,(321) 567-6300,99,1,0,99,95,4,1,97,94,5,1,97,93,6,1,97,,872,395,45,01/01/2022,12/31/2022
10C0001559,SAFETY HARBOR SURGERY CENTER LLC,3280 MCMULLEN BOOTH RD. STE. 110,CLEARWATER,FL,33761,,(727) 787-3000,97,3,0,98,91,7,2,95,90,8,2,95,89,9,2,96,,1243,460,37,01/01/2022,12/31/2022
10C0001560,SURGCENTER PINELLAS LLC,12416 66TH ST. N STE. D,LARGO,FL,33773,,(727) 408-5310,95,4,1,97,87,11,2,92,85,12,3,93,80,16,4,92,,1082,369,34,01/01/2022,12/31/2022
10C0001571,SURGERY CENTRE OF SW FLORIDA LLC,665 DEL PRADO BLVD S.,CAPE CORAL,FL,33990,,(239) 772-3636,97,3,0,98,89,8,3,93,87,11,2,94,85,13,2,94,,1082,391,36,01/01/2022,12/31/2022
10C0001576,THE OUTPATIENT CENTER OF DELRAY,4675 LINTON BLVD STE 101,DELRAY BEACH,FL,33445,,(561) 499-9585,96,3,1,98,91,7,2,95,88,9,3,94,85,14,1,94,,1001,313,31,01/01/2022,12/31/2022
10C0001577,ADVANCED SURGERY CENTER OF SARASOTA LLC,2621 CATTLEMEN RD SUITE 100,SARASOTA,FL,34232,,(941) 444-5510,97,3,0,99,91,8,1,95,92,6,2,96,89,10,1,96,,1572,685,44,01/01/2022,12/31/2022
10C0001578,SURGCENTER NORTHEAST LLC,"2438 DR. MARTIN LUTHER KING JR. ST. N, STE. C",ST PETERSBURG,FL,33704,,(727) 565-0740,97,3,0,98,90,8,2,94,92,7,1,96,90,9,1,96,,923,283,31,01/01/2022,12/31/2022
10C0001582,LONGLEAF SURGERY CENTER,3010 STARKEY BLVD,NEW PORT RICHEY,FL,34655,,(727) 372-0600,,,,,,,,,,,,,,,,,4,,,,,
10C0001586,MARION SURGERY CENTER LLC,2207 SW 1ST AVE,OCALA,FL,34471,,(352) 732-4020,97,3,0,98,89,9,2,93,87,12,1,95,85,14,1,95,,1251,526,42,01/01/2022,12/31/2022
10C0001588,SURGCENTER OF PALM BEACH GARDENS LLC,900 VILLAGE SQUARE CROSSING SUITE 100,PALM BEACH GARDENS,FL,33410,,(561) 429-6880,97,2,1,98,90,8,2,94,89,10,1,96,88,10,2,95,,747,166,22,01/01/2022,12/31/2022
10C0001589,ADVANCED SURGERY CENTER OF TAMPA LLC,1881 W. KENNEDY BLVD,TAMPA,FL,33606,,(813) 693-5000,94,4,2,96,88,9,3,93,77,16,7,91,78,16,6,89,,1032,214,21,01/01/2022,12/31/2022
10C0001596,SEASIDE SURGERY CENTER,1879 VETERANS PARK DR SUITE 1101,NAPLES,FL,34109,,(239) 592-4955,98,2,0,99,92,6,2,95,92,7,1,96,89,10,1,96,,1304,690,53,01/01/2022,12/31/2022
10C0001601,SELECT PHYSICIANS SURGERY CENTER,3440 WEST MARTIN LUTHER KING JR BLVD SUITE 103,TAMPA,FL,33607,,(813) 321-1618,,,,,,,,,,,,,,,,,4,,,,,
10C0001608,SURGCENTER OF ST. LUCIE,10521 SOUTHWEST VILLAGE CENTER DR #104,PORT ST. LUCIE,FL,34987,,(772) 345-8600,,,,,,,,,,,,,,,,,4,,,,,
10C0001609,THE ADVANCED CENTER FOR SURGERY LLC,1355 37TH ST SUITE 304,VERO BEACH,FL,32960,,(772) 213-3600,97,3,0,98,92,6,2,95,89,9,2,95,88,10,2,95,,1008,372,37,01/01/2022,12/31/2022
10C0001612,MIAMI SURGICAL SUITES LLC,9035 SUNSET DR SUITE 200,MIAMI,FL,33173,,(786) 615-6210,,,,,,,,,,,,,,,,,4,,,,,
10C0001637,INTRACOASTAL SURGERY CENTER LLC,2200 WEST EAU GALLIE BLVD SUITE 100,MELBOURNE,FL,32935,,(321) 610-3460,,,,,,,,,,,,,,,,,4,,,,,
10C0001645,SURGCENTER CLEARWATER LLC DBA SURGCENTER DUNEDIN,980 MILWAUKEE AVE,DUNEDIN,FL,34698,,(727) 733-4610,,,,,,,,,,,,,,,,,4,,,,,
10C0001660,HSS PALM BEACH AMBULATORY SURGERY CENTER,: 300 PALM BEACH LAKES BOULEVARD,WEST PALM BEACH,FL,33401,,(000) 000-0000,98,2,0,99,91,8,1,95,94,4,2,97,90,9,1,96,,1537,632,41,01/01/2022,12/31/2022
11C0001049,RESURGENS SURGERY CENTER LLC,5671 PEACHTREE DUNWOODY RD SUITE 800,ATLANTA,GA,30342,,(404) 531-8532,99,1,0,99,94,5,1,97,95,4,1,97,89,9,2,95,,1199,337,28,01/01/2022,12/31/2022
11C0001056,THE ENDOSCOPY CENTER OF SOUTHEAST GEORGIA INC,200 MAPLE DR,VIDALIA,GA,30474,,(912) 538-1003,,,,,,,,,,,,,,,,,4;5,,,,,
11C0001085,NORTHWEST GEORGIA ORTHOPAEDIC SURGERY CENTER LLC,2550 WINDY HILL RD SOUTHEAST SUITE 218,MARIETTA,GA,30067,,(770) 953-8058,96,3,1,98,90,8,2,94,88,10,2,95,83,13,4,93,,1231,251,20,01/01/2022,12/31/2022
11C0001177,EAST WEST SURGERY CENTER LP,2041 MESA VALLEY WAY SUITE 125,AUSTELL,GA,30106,,(678) 309-8100,97,2,1,98,91,7,2,95,90,8,2,96,87,10,3,94,,1018,256,25,01/01/2022,12/31/2022
11C0001182,ROSWELL SURGERY CENTER LLC,1285 HEMBREE RD SUITE 200C,ROSWELL,GA,30076,,(770) 772-5520,99,1,0,99,93,6,1,96,93,6,1,97,89,9,2,95,,1286,390,30,01/01/2022,12/31/2022
11C0001192,LAWRENCEVILLE SURGERY CENTER LLC,758 OLD NORCROSS RD SUITE 125,LAWRENCEVILLE,GA,30046,,(678) 987-0820,99,1,0,99,91,7,2,95,91,8,1,96,88,10,2,95,,1223,334,27,01/01/2022,12/31/2022
11C0001234,ORTHOPAEDIC SOUTH SURGICAL CENTER,6645 LAKE DR,MORROW,GA,30260,,(678) 422-4230,98,2,0,99,92,7,1,96,94,5,1,97,93,6,1,97,,1921,494,26,01/01/2022,12/31/2022
11C0001258,THOMAS EYE SURGERY CENTER LLC,5995 BARFIELD RD,SANDY SPRINGS,GA,30328,,(678) 781-7388,,,,,,,,,,,,,,,,,4;5,,,,,
11C0001279,SURGICAL CENTER FOR UROLOGY LLC,290 COUNTRY CLUB DR SUITE 240,STOCKBRIDGE,GA,30281,,(678) 565-1806,97,3,0,98,90,8,2,94,91,7,2,96,91,7,2,96,,1884,365,20,01/01/2022,12/31/2022
11C0001368,NORTH COLUMBUS SURGERY CENTER LLC,7351 OLD MOON RD,COLUMBUS,GA,31909,,(706) 653-7000,97,2,1,98,92,6,2,95,80,17,3,93,87,11,2,95,,3061,531,18,01/01/2022,12/31/2022
11C0001370,GEORGIA SPINE SURGERY CENTER LLC DBA GNS SURGERY CENTER,1061 DOWDY RD SUITE 103,ATHENS,GA,30606,,(706) 543-9222,,,,,,,,,,,,,,,,,4,,,,,
11C0001383,HUGHSTON SURGICAL CENTER LLC,6262 VETERANS PKWY UNIT. B,COLUMBUS,GA,31909,,(706) 494-3434,,,,,,,,,,,,,,,,,4;5,,,,,
11C0001407,WHITE OAK SURGERY CENTER,1665 EAST HWY 34 SUITE 200,NEWMAN,GA,30265,,(770) 252-7557,,,,,,,,,,,,,,,,,4,,,,,
11C0001460,RESURGENS EAST SURGERY CENTER LLC,3241 IRIS DR SUITE 100,COVINGTON,GA,30016,,(678) 712-7624,98,2,0,99,94,4,2,96,92,7,1,96,90,9,1,96,,1262,319,25,01/01/2022,12/31/2022
11C0001472,RESURGENS FAYETTE SURGERY CENTER LLC,1336 HWY 54 WEST BUILDING 400 SUITE A,FAYETTEVILLE,GA,30214,,(678) 251-0200,99,1,0,99,92,7,1,96,94,4,2,97,92,6,2,96,,1500,475,32,01/01/2022,12/31/2022
12C0001012,KAISER PERMANENTE HONOLULU CLINIC ASC,1010 PENSACOLA ST,HONOLULU,HI,96814,,(808) 597-2611,99,1,0,99,93,6,1,96,92,7,1,96,89,10,1,96,,2271,825,37,01/01/2022,12/31/2022
12C0001100,KAISER WAILUKU CLINIC ASC,80 MAHALANI ST,WAILUKU,HI,96793,,(808) 243-6000,99,1,0,99,94,4,2,96,88,11,1,96,88,11,1,96,,1512,487,32,01/01/2022,12/31/2022
13C0001037,KOOTENAI OUTPATIENT SURGERY,707 WEST IRONWOOD DR,COEUR D ALENE,ID,83814,,(308) 625-6428,99,1,0,99,92,7,1,95,91,7,2,95,86,12,2,95,,1510,395,27,01/01/2022,12/31/2022
13C0001064,IDAHO PHYSICAL MEDICINE AND REHABILITATION PA,3551 EAST OVERLAND RD,MERIDIAN,ID,83642,,(208) 287-6558,98,2,0,99,94,5,1,97,91,9,0,96,87,12,1,95,,1204,320,27,01/01/2022,12/31/2022
14C0001030,RIVER NORTH SAME DAY SURGERY LLC,1 EAST ERIE ST SUITE 300,CHICAGO,IL,60611,,(312) 649-9706,98,2,0,99,92,6,2,95,88,9,3,94,84,14,2,93,,1614,346,21,01/01/2022,12/31/2022
14C0001041,NORTH SHORE SAME DAY SURGERY DBA NORTH SHORE SURGICAL CENTER,3427 WEST TOUHY AVE,LINCOLNWOOD,IL,60712,,(847) 324-7770,95,4,1,97,92,7,1,95,81,16,3,92,79,18,3,92,,1474,561,38,01/01/2022,12/31/2022
14C0001059,ROCKFORD GASTROENTEROLOGY ASSOCIATES LTD,401 ROXBURY RD,ROCKFORD,IL,61107,,(815) 484-7930,98,2,0,99,89,9,2,93,91,8,1,96,95,5,0,98,,1876,347,19,01/01/2022,12/31/2022
14C0001074,EFFINGHAM SURGICAL PARTNERS LLC,904 W. TEMPLE AVE.,EFFINGHAM,IL,62401,,(217) 342-1234,99,1,0,99,94,5,1,97,94,5,1,97,92,7,1,96,,1032,412,40,01/01/2022,12/31/2022
14C0001157,PHYSICIANS SURGERY CENTER AT GOOD SAMARITAN LLC,"2 GOOD SAMARITAN WAY, STE. 200",MOUNT VERNON,IL,62864,,(618) 899-5703,98,2,0,99,91,8,1,95,88,10,2,95,82,17,1,93,,1288,394,31,01/01/2022,12/31/2022
14C0001172,SILVER CROSS AMBULATORY SURGERY CENTER LLC DBA SILVER CROSS SURGERY CENTER,1003 PAWLAK PARKWAY,NEW LENOX,IL,60451,,(815) 717-1740,97,2,1,98,92,6,2,95,90,8,2,95,87,11,2,95,,1415,538,38,01/01/2022,12/31/2022
14C0001178,PALOS HEALTH SURGERY CENTER,15300 WEST AVE SUITE 260,ORLAND PARK,IL,60462,,(708) 981-3664,,,,,,,,,,,,,,,,,4,,,,,
15C0001158,TERRE HAUTE SURGICAL CENTER LLC,227 EAST MCCALLISTER DR,TERRE HAUTE,IN,47802,,(812) 234-4315,97,3,0,98,91,7,2,94,86,11,3,94,80,17,3,92,,561,211,38,01/01/2022,12/31/2022
15C0001169,INDIANA SPECIALTY SURGERY CENTER LLC,1380 W ARCH HAVEN AVE,BLOOMINGTON,IN,47403,,(812) 330-1164,99,1,0,99,93,6,1,96,93,6,1,96,91,8,1,96,,888,352,40,01/01/2022,12/31/2022
15C0001174,METRO SPECIALTY SURGERY CENTER LLC,"200 MISSOURI AVE, STE. A",JEFFERSONVILLE,IN,47130,,(812) 920-0055,97,3,0,99,91,7,2,94,87,12,1,95,84,14,2,94,,1318,394,30,01/01/2022,12/31/2022
15C0001182,CARMEL SPECIALTY SURGERY CENTER,11590 NORTH MERIDIAN ST SUITE 130,CARMEL,IN,46032,,(317) 660-0260,96,4,0,98,89,9,2,93,87,11,2,94,83,15,2,93,,1612,523,32,01/01/2022,12/31/2022
15C0001184,MUNSTER SPECIALTY SURGERY CENTER,9200 CALUMET AVE SUITE S100,MUNSTER,IN,46321,,(219) 595-0789,98,2,0,99,92,6,2,95,87,11,2,95,85,13,2,94,,1024,341,33,01/01/2022,12/31/2022
15C0001186,MIDWEST SPECIALTY SURGERY CENTER LLC,6920 GATWICK DR STE 100,INDIANAPOLIS,IN,46241,,(317) 821-0000,98,2,0,99,90,8,2,94,92,7,1,96,91,8,1,96,,1170,633,54,01/01/2022,12/31/2022
15C0001188,NORTHWEST REGIONAL SURGERY CENTER LLC,"8900 BROADWAY, SUITE 100W",MERRILLVILLE,IN,46410,,(219) 576-6260,97,3,0,99,90,8,2,94,91,8,1,96,84,15,1,94,,1257,419,33,01/01/2022,12/31/2022
15C0001190,ADVANCED REGIONAL SURGERY CENTER LLC,"360 MISSOURI AVE, 19A, SUITE 102",JEFFERSONVILLE,IN,47130,,(817) 722-1480,95,4,1,97,89,9,2,93,84,14,2,94,80,17,3,92,,1608,411,26,01/01/2022,12/31/2022
15C0001202,GREAT LAKES SURGICAL SUITES LLC DBA GREAT LAKES SURGICAL SUITES,9200 CALUMET AVE SUITE N500,MUNSTER,IN,46321,,(219) 513-9955,95,5,0,97,90,9,1,95,84,14,2,93,79,16,5,91,,1014,354,35,01/01/2022,12/31/2022
15C0001214,FRANCISCAN LAKESHORE ASC LLC,12800 MISSISSIPPI PARKWAY PARVILION C,CROWN POINT,IN,46307,,(000) 000-0000,98,2,0,99,90,8,2,94,95,4,1,97,90,10,0,97,,1185,284,24,01/01/2022,12/31/2022
16C0001034,MERCY SURGERY CENTER LLC,1195 BOYSON RD SUITE 3,HIAWATHA,IA,52233,,(319) 369-4764,98,2,0,99,93,6,1,96,90,8,2,95,90,9,1,96,,1190,506,43,01/01/2022,12/31/2022
17C0001083,EPIC SURGERY CENTER,11261 NALL AVE SUITE 200,LEAWOOD,KS,66211,,(913) 671-3290,98,2,0,99,90,8,2,94,88,10,2,95,86,13,1,95,,990,388,39,01/01/2022,12/31/2022
19C0001010,EYE CARE SURGERY CENTER INC,10423 OLD HAMMOND HWY,BATON ROUGE,LA,70816,,(225) 932-0070,,,,,,,,,,,,,,,,,4;5,,,,,
19C0001053,METAIRIE OPHTHALMOLOGY ASC LLC,3900 VETERANS BLVD. #100,METAIRIE,LA,70002,,(504) 455-1550,,,,,,,,,,,,,,,,,4;5,,,,,
19C0001085,LAKE AMBULATORY SURGERY CTR,7145 PERKINS RD,BATON ROUGE,LA,70808,,(225) 408-5548,96,4,0,98,91,8,1,95,86,12,2,94,83,16,1,94,2,2348,583,25,01/01/2022,12/31/2022
19C0001092,ADVANCED SURGICAL CONCEPTS LLC,9118 BLUEBONNET CENTRE BLVD,BATON ROUGE,LA,70809,,(225) 368-2330,,,,,,,,,,,,,,,,,4,,,,,
19C0001109,CHRISTUS CABRINI SURGERY CENTER LLC,3436 MASONIC DR.,ALEXANDRIA,LA,71301,,(318) 427-6500,98,2,0,99,93,6,1,96,94,4,2,96,91,7,2,96,,1236,375,30,01/01/2022,12/31/2022
19C0001133,OIL CENTER SURGICAL PLAZA,1000 WEST PINHOOK,LAFAYETTE,LA,70503,,(337) 571-0600,97,3,0,99,93,6,1,96,90,9,1,96,88,11,1,95,,978,388,40,01/01/2022,12/31/2022
20C0001012,INTERMED PA DBA GENERATIONS,84 MARGINAL WAY SUITE 1000,PORTLAND,ME,04101,,(207) 347-2898,99,1,0,99,95,4,1,97,92,7,1,96,90,8,2,96,,883,279,32,01/01/2022,12/31/2022
21C0001043,KAISER FOUNDATION HEALTH PLAN OF THE MID-ATLANTIC STATES INC.,10810 CONNECTICUT AVE,KENSINGTON,MD,20895,,(301) 816-7284,97,2,1,98,95,4,1,97,87,10,3,95,84,14,2,93,,2054,736,36,01/01/2022,12/31/2022
21C0001063,CLINICAL ASSOCIATION AMBULATORY SURGICAL CENTER,515 FAIRMOUNT AVE. STE 100,TOWSON,MD,21286,,(410) 494-1335,95,4,1,97,92,7,1,95,81,16,3,94,80,17,3,93,,1212,111,9,01/01/2022,12/31/2022
21C0001466,UPPER BAY SURGERY CENTER LLC,360 EAST PULASKI HWY SUITE 2A,ELKTON,MD,21921,,(410) 620-3348,98,2,0,99,90,8,2,94,91,8,1,96,87,12,1,95,,1419,383,27,01/01/2022,12/31/2022
21C0001476,SURGCENTER OF GLEN BURNIE LLC,308 HOSPITAL DR SUITE 102,GLEN BURNIE,MD,21061,,(410) 760-8100,96,3,1,98,90,8,2,94,87,12,1,95,83,16,1,94,,1329,367,28,01/01/2022,12/31/2022
21C0001477,WESTMINSTER SURGERY CENTER,826 WASHINGTON RD STE 131,WESTMINSTER,MD,21157,,(410) 871-9440,98,2,0,99,93,6,1,96,92,7,1,96,90,9,1,96,,1001,373,37,01/01/2022,12/31/2022
21C0001491,MAPLE LAWN SURGERY CENTER,7625 MAPLE LAWN BLVD STE. 110,FULTON,MD,20759,,(301) 490-5025,98,2,0,99,95,4,1,97,93,6,1,97,90,9,1,96,,1315,382,29,01/01/2022,12/31/2022
21C0001494,SURGCENTER OF SOUTHERN MARYLAND,9001 WOODYARD RD SUITE B,CLINTON,MD,20735,,(301) 868-4950,97,2,1,98,91,7,2,95,82,14,4,92,78,19,3,91,,1437,425,30,01/01/2022,12/31/2022
21C0001498,TIMONIUM SURGERY CENTER LLC,"1954 GREENSPRING DR, LL18",TIMONIUM,MD,21093,,(410) 560-3301,96,4,0,98,90,8,2,94,89,10,1,95,83,15,2,93,,1428,440,31,01/01/2022,12/31/2022
21C0001508,PICCARD SURGERY CENTER LLC,1330 PICCARD DR STE 102,ROCKVILLE,MD,20850,,(301) 208-7350,96,4,0,98,88,9,3,93,90,9,1,95,89,10,1,96,,1416,332,23,01/01/2022,12/31/2022
21C0001519,SURGCENTER OF WHITE MARSH LLC,11605 CROSSROADS CIR,BALTIMORE,MD,21220,,(410) 344-0003,97,2,1,98,94,5,1,97,92,7,1,96,91,7,2,96,,713,198,28,01/01/2022,12/31/2022
21C0001524,LEONARDTOWN SURGERY CENTER LLC,"40900 MERCHANTS LANE, SUITE 200",LEONARDTOWN,MD,20650,,(301) 690-2203,97,3,0,99,94,5,1,96,88,11,1,95,87,11,2,94,,1480,407,28,01/01/2022,12/31/2022
21C0001525,HAGERSTOWN SURGERY CENTER LLC,11236 ROBINWOOD DR SUITE 201,HAGERSTOWN,MD,21742,,(240) 347-4836,,,,,,,,,,,,,,,,,4,,,,,
21C0001531,SURGCENTER OF SILVER SPRING LLC,8710 CAMERON ST STE 100,SILVER SPRING,MD,20910,,(301) 326-2921,,,,,,,,,,,,,,,,,4,,,,,
21C0001538,ADVANCED SURGERY CENTER OF BETHESDA LLC,6430 ROCKLEDGE DR SUITE 160,BETHESDA,MD,20817,,(301) 312-6144,95,5,0,98,89,9,2,94,73,24,3,90,69,27,4,87,,1296,240,19,01/01/2022,12/31/2022
21C0001539,GAITHERSBURG AMBULATORY SURGERY CENTER,655 WATKINS MILL RD,GAITHERSBURG,MD,20879,,(301) 816-6812,98,2,0,99,94,5,1,97,90,8,2,95,86,11,3,94,,2615,713,27,01/01/2022,12/31/2022
21C0001545,WINDSOR MILL SURGERY CENTER LLC,2373 NORTH ROLLING RD,WINDSOR MILL,MD,21244,,(443) 200-5600,,,,,,,,,,,,,,,,,4,,,,,
21C0001551,MONOCACY SURGERY CENTER LLC,4991 NEW DESIGN RD SUITE 103,FREDERICK,MD,21703,,(301) 363-5858,98,2,0,99,92,7,1,96,93,7,0,96,91,8,1,96,,1023,278,27,01/01/2022,12/31/2022
21C0001556,KAISER FOUNDATION HEALTH PLAN OF THE MID-ATLANTIC STATES INC,1221 MERCANTILE LANE,LARGO,MD,20774,,(301) 618-5500,96,3,1,98,94,5,1,97,88,10,2,95,83,15,2,93,,2924,706,24,01/01/2022,12/31/2022
21C0001560,SOUTH BALTIMORE COUNTY ASC LBN KAISER FOUNDATION HEALTH PLAN OF THE MID-ATLANTIC STATES INC,1701 TWIN SPRINGS RD,HALETHORPE,MD,21227,,(301) 816-2424,95,4,1,97,90,9,1,94,87,11,2,94,79,18,3,91,,2330,557,24,01/01/2022,12/31/2022
21C0001566,POTOMAC VIEW SURGERY CENTER LLC,6710 OXON HILL RD SUITE 150,OXON HILL,MD,20745,,(240) 766-2734,,,,,,,,,,,,,,,,,4,,,,,
21C0001568,POINT OF ROCKS SURGERY CENTER LLC,1901 LOCKHOUSE DR,POINT OF ROCKS,MD,21777,,(301) 874-2211,97,3,0,99,91,7,2,95,89,11,0,95,85,14,1,94,,746,231,31,01/01/2022,12/31/2022
21C0001575,SURGCENTER OF THE POTOMAC LLC,6508 ROCK SPRING DR STE 100,BETHESDA,MD,20817,,(240) 783-0282,,,,,,,,,,,,,,,,,4,,,,,
21C0001583,GLEN ECHO SURGERY CENTER,5550 FRIENDSHIP BLVD SUITE 100,CHEVY CHASE,MD,20815,,(240) 534-2972,97,3,0,99,92,7,1,96,91,6,3,95,84,12,4,93,,984,217,22,01/01/2022,12/31/2022
21C0001590,DIALYSIS ACCESS SERVICES LLC,1666 SULPHUR SPRINGS RD,BALTIMORE,MD,21227,,(410) 536-5400,96,4,0,98,89,9,2,94,90,8,2,94,85,11,4,92,3,575,83,14,01/01/2022,12/31/2022
21C0001594,DIALYSIS ACCESS SERVICES LLC,2405 YORK RD SUITE 100,TIMONIUM,MD,21093,,(410) 536-5400,95,3,2,97,88,8,4,92,81,14,5,92,76,16,8,87,3,479,72,15,01/01/2022,12/31/2022
22C0001011,ARC WORCESTER CENTER LP DBA WORCESTER SURGICAL CENTER,300 GROVE ST,WORCESTER,MA,01605,,(508) 754-0700,97,2,1,98,91,7,2,95,87,11,2,94,84,14,2,94,,1124,418,37,01/01/2022,12/31/2022
23C0001020,SURGICAL CARE CENTER OF MICHIGAN,750 EAST BELTLINE NE,GRAND RAPIDS,MI,49525,,(616) 588-6520,96,4,0,98,83,14,3,90,87,11,2,94,87,11,2,95,,1448,362,26,01/01/2022,12/31/2022
23C0001027,LAKE LANSING ASC PARTNERS LLC,1707 LAKE LANSING RD,LANSING,MI,48912,,(517) 708-3363,98,2,0,99,92,6,2,95,91,7,2,96,91,8,1,96,2,1026,363,35,01/01/2022,12/31/2022
23C0001031,GENESIS SURGERY CENTER,3400 E JOLLY RD,LANSING,MI,48910,,(517) 272-1063,96,4,0,98,92,7,1,95,89,10,1,95,87,12,1,95,,1208,381,37,01/01/2022,12/31/2022
23C0001053,EAST PARIS SURGICAL CENTER LLC,1000 EAST PARIS AVE S.E.,GRAND RAPIDS,MI,49546,,(616) 464-3430,97,3,0,98,86,12,2,92,87,11,2,95,89,9,2,96,,1351,310,23,01/01/2022,12/31/2022
23C0001080,WALKER SURGICAL CENTER LLC,3300 WALKER VIEW DR.,WALKER,MI,49544,,(616) 588-6560,97,3,0,99,91,7,2,94,92,7,1,97,92,7,1,97,,1495,389,26,01/01/2022,12/31/2022
23C0001085,TOWNE CENTRE SURGERY CENTER LLC,4599 TOWN CENTER RD.,SAGINAW,MI,48604,,(989) 497-3096,97,3,0,99,86,10,4,91,90,9,1,96,89,10,1,96,,1765,380,22,01/01/2022,12/31/2022
23C0001109,CLARKSTON SURGERY CENTER,5701 BOW POINTE DR,CLARKSTON,MI,48346,,(248) 922-4800,99,1,0,99,91,7,2,94,92,5,3,95,89,10,1,96,,970,354,36,01/01/2022,12/31/2022
23C0001114,SURGICAL INSTITUTE OF MONROE,1051 SOUTH TELEGRAPH RD,MONROE,MI,48161,,(734) 244-5383,98,2,0,99,90,8,2,94,88,10,2,95,85,14,1,94,,1418,596,42,01/01/2022,12/31/2022
23C0001128,RED CEDAR SURGERY CENTER PLLC,5668 OKEMOS RD,HASLETT,MI,48840,,(517) 481-2883,,,,,,,,,,,,,,,,,4,,,,,
23C0001139,HEALTH POINTE,15100 WHITTAKER WAY,GRAND HAVEN,MI,49417,,(616) 935-6329,97,2,1,98,92,7,1,95,89,9,2,94,86,13,1,95,,1750,440,25,01/01/2022,12/31/2022
24C0001010,WILLMAR SURGERY CENTER,1320 SOUTH FIRST ST,WILLMAR,MN,56201,,(320) 235-6506,98,2,0,99,93,6,1,96,89,10,1,95,84,15,1,94,,2431,758,31,01/01/2022,12/31/2022
24C0001019,LANDMARK SURGERY CENTER,7115 TAMARACK RD SUITE 200,WOODBURY,MN,55125,,(651) 261-1717,,,,,,,,,,,,,,,,,4,,,,,
24C0001052,ILBNC SPECIAL PROCEDURES,15700 37TH AVE N STE. 210,PLYMOUTH,MN,55446,,(952) 814-6644,,,,,,,,,,,,,,,,,4,,,,,
24C0001060,CENTRACARE SURGERY CENTER LLC,1900 CENTRACARE CIR,ST CLOUD,MN,56303,,(320) 229-4964,99,1,0,99,94,5,1,97,91,8,1,95,86,13,1,95,,3017,968,32,01/01/2022,12/31/2022
24C0001078,VADNAIS HEIGHTS SURGERY CENTER,3580 ARCADE ST,VADNAIS HEIGHTS,MN,55127,,(651) 968-5662,,,,,,,,,,,,,,,,,4,,,,,
24C0001091,EAGAN SURGERY CENTER,2620 EAGAN WOODS DR,EAGAN,MN,55121,,(651) 968-5662,,,,,,,,,,,,,,,,,4,,,,,
25C0001028,SOUTHERN SURGERY CENTER,3688 VETERANS MEMORIAL DR SUITE 100,HATTIESBURG,MS,39401,,(601) 554-7533,,,,,,,,,,,,,,,,,4;5,,,,,
