"Facility Name","Facility ID","NPI","City/Town","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-17 Total Cases","ASC-17 Performance Category","ASC-17 RSHV Rate","ASC-17 Interval Lower Limit","ASC-17 Interval Upper Limit","ASC-17 Footnote","ASC-18 Total Cases","ASC-18 Performance Category","ASC-18 RSHV Rate","ASC-18 Interval Lower Limit","ASC-18 Interval Upper Limit","ASC-18 Footnote","ASC-20 Sample","ASC-20 Rate","ASC-20 Footnote"
MOY FINCHER CHIPPS FACIAL PLASTICS AND DERMATOLOGY,05C0001961,1144552647,BEVERLY HILLS,CA,90210,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,29,100,
HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,05C0001198,1144590332,LONG BEACH,CA,90806,2022,N/A,5,N/A,5,90,No Different Than the National Rate,10.3,7.3,14.2,,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,05C0001198,1144590332,LONG BEACH,CA,90806,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SOUTH LOOP ENDOSCOPY AND WELLNESS CENTER LLC,14C0001156,1144593369,CHICAGO,IL,60616,2022,N/A,1,N/A,5,159,No Different Than the National Rate,11.1,7.8,15.6,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SOUTH LOOP ENDOSCOPY AND WELLNESS CENTER LLC,14C0001156,1144593369,CHICAGO,IL,60616,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
HAUSER ROSS AMBULATORY SURGICAL CENTER,14C0001165,1144607862,SYCAMORE,IL,60178,2022,N/A,5,100,,N/A,N/A,N/A,N/A,N/A,5,100,,0.62,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
HAUSER ROSS AMBULATORY SURGICAL CENTER,14C0001165,1144607862,SYCAMORE,IL,60178,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,32,93.9,
ANCHORAGE SURGICENTER LLC,02C0001000,1144612714,ANCHORAGE,AK,99508,2022,95.24,,N/A,5,381,No Different Than the National Rate,11.3,8.2,15.5,,100,,N/A,5,68,No Different Than the National Rate,2.1,1.3,3.2,,56,No Different Than the National Rate,5.3,3.3,8.2,,,N/A,5
ANCHORAGE SURGICENTER LLC,02C0001000,1144612714,ANCHORAGE,AK,99508,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,144,81,
CENTER FOR RESTORATIVE SURGERY AT MAPLE GROVE,24C0001106,1144644717,MAPLE GROVE,MN,55369,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
CENTER FOR RESTORATIVE SURGERY AT MAPLE GROVE,24C0001106,1144644717,MAPLE GROVE,MN,55369,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,52,86.5,
SANSUM CLINIC DBA FOOTHILL SURGERY CENTER AT SANSUM CLINIC,05C0002055,1144648015,SANTA BARBARA,CA,93110,2022,N/A,1,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,99.97,,0.47,,197,No Different Than the National Rate,2.5,1.7,3.8,,169,No Different Than the National Rate,6.1,4.2,8.7,,,N/A,5
SANSUM CLINIC DBA FOOTHILL SURGERY CENTER AT SANSUM CLINIC,05C0002055,1144648015,SANTA BARBARA,CA,93110,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,75,100,
MALLARD CREEK SURGERY CENTER,34C0001191,1144652330,CHARLOTTE,NC,28262,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,332,No Different Than the National Rate,2.2,1.5,3.3,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MALLARD CREEK SURGERY CENTER,34C0001191,1144652330,CHARLOTTE,NC,28262,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,191,93.2,
MURRIETA VALLEY SURGERY CENTER INC A PROFESSIONAL CORPORATION DBA MURRIETA VALLEY SURGERY CENTER,05C0002151,1144673526,WILDOMAR,CA,92595,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,0,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
MURRIETA VALLEY SURGERY CENTER INC A PROFESSIONAL CORPORATION DBA MURRIETA VALLEY SURGERY CENTER,05C0002151,1144673526,WILDOMAR,CA,92595,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
METROPOLITAN SURGICAL CENTER,24C0001102,1144745951,MAPLE GROVE,MN,55369,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,38,No Different Than the National Rate,2.4,1.6,3.6,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
METROPOLITAN SURGICAL CENTER,24C0001102,1144745951,MAPLE GROVE,MN,55369,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,39,90.5,
KERN SURGERY CENTER LLC,05C0002205,1144773490,BAKERSFIELD,CA,93301,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,91.94,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
KERN SURGERY CENTER LLC,05C0002205,1144773490,BAKERSFIELD,CA,93301,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,26,96.2,
GULFSTREAM SURGICAL FORT WORTH LLC,45C0001724,1144827114,FORT WORTH TX,TX,76107,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
GULFSTREAM SURGICAL FORT WORTH LLC,45C0001724,1144827114,FORT WORTH TX,TX,76107,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
FRANCISCAN LAKESHORE ASC LLC,15C0001214,1144866781,CROWN POINT,IN,46307,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.36,,N/A,5,74,No Different Than the National Rate,2,1.3,3.1,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
FRANCISCAN LAKESHORE ASC LLC,15C0001214,1144866781,CROWN POINT,IN,46307,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,44,96.2,
ENDOSCOPY CENTER OF WASHINGTON DC LP,09C0001002,1154301240,WASHINGTON,DC,20006,2022,83.48,,N/A,5,971,No Different Than the National Rate,10.4,7.6,13.9,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
ENDOSCOPY CENTER OF WASHINGTON DC LP,09C0001002,1154301240,WASHINGTON,DC,20006,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,53,100,
NORTH PLATTE SURGERY CENTER LLC,28C0001032,1154316339,NORTH PLATTE,NE,69101,2022,94.47,,N/A,5,581,No Different Than the National Rate,12.4,9.2,16.9,,65.09,,0,,249,No Different Than the National Rate,2.3,1.6,3.5,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NORTH PLATTE SURGERY CENTER LLC,28C0001032,1154316339,NORTH PLATTE,NE,69101,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,114,81.9,
THE EVERETT CLINIC,50C0001146,1154318103,EVERETT,WA,98201,2022,97.92,,N/A,5,2330,No Different Than the National Rate,8.7,6.6,11.3,,98.41,,0.09,,257,No Different Than the National Rate,2,1.3,3,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
THE EVERETT CLINIC,50C0001146,1154318103,EVERETT,WA,98201,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,146,96,
LAHAYE CENTER FOR ADVANCED EYE CARE OF LAFAYETTE INC,19C0001052,1154318376,LAFAYETTE,LA,70508,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,1.44,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
LAHAYE CENTER FOR ADVANCED EYE CARE OF LAFAYETTE INC,19C0001052,1154318376,LAFAYETTE,LA,70508,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,31,38.7,
CREVE COEUR SURGERY CENTER LLC,26C0001033,1154318517,CREVE COEUR,MO,63141,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CREVE COEUR SURGERY CENTER LLC,26C0001033,1154318517,CREVE COEUR,MO,63141,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,88,96.6,
SOUTHWEST SURGICAL SUITES,15C0001121,1154322410,FORT WAYNE,IN,46804,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SOUTHWEST SURGICAL SUITES,15C0001121,1154322410,FORT WAYNE,IN,46804,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,99,
TEXOMA OUTPATIENT SURGERY CENTER INC,45C0001176,1154322600,WICHITA FALLS,TX,76301,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.12,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
TEXOMA OUTPATIENT SURGERY CENTER INC,45C0001176,1154322600,WICHITA FALLS,TX,76301,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,16,91.4,
CENTRAL VIRGINIA SURGI CENTER LP DBA SURGI CENTER OF CENTRAL VIRGINIA,49C0001009,1154323988,FREDERICKSBURG,VA,22401,2022,100,,N/A,5,1783,No Different Than the National Rate,10.8,8.3,13.8,,99.72,,0.1,,334,No Different Than the National Rate,2.5,1.7,3.6,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
CENTRAL VIRGINIA SURGI CENTER LP DBA SURGI CENTER OF CENTRAL VIRGINIA,49C0001009,1154323988,FREDERICKSBURG,VA,22401,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,125,89.8,
NORTH VALLEY SURGERY CENTER,03C0001285,1154326650,SCOTTSDALE,AZ,85260,2022,71.13,,N/A,5,2745,No Different Than the National Rate,9.7,7.5,12.5,,100,,N/A,5,852,No Different Than the National Rate,1.8,1.3,2.5,,89,No Different Than the National Rate,5.4,3.6,8,,,N/A,5
NORTH VALLEY SURGERY CENTER,03C0001285,1154326650,SCOTTSDALE,AZ,85260,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,189,85.4,
LOS PALOS AMBULATORY ENDOSCOPY CENTER,05C0001397,1154328243,SALINAS,CA,93901,2022,N/A,5,N/A,5,1368,No Different Than the National Rate,12.7,9.6,16.8,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
LOS PALOS AMBULATORY ENDOSCOPY CENTER,05C0001397,1154328243,SALINAS,CA,93901,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
THE PHYSICIANS ATLANTA SURGERY CENTER,11C0001184,1154352847,MARIETTA,GA,30060,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
THE PHYSICIANS ATLANTA SURGERY CENTER,11C0001184,1154352847,MARIETTA,GA,30060,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,6,N/A,1
GULF SOUTH SURGERY CENTER LLC,25C0001001,1154360501,GULFPORT,MS,39501,2022,N/A,5,N/A,5,351,No Different Than the National Rate,10.8,7.8,14.8,,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
GULF SOUTH SURGERY CENTER LLC,25C0001001,1154360501,GULFPORT,MS,39501,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SURGERY CENTER OF NORTH FLORIDA INC,10C0001257,1154366060,GAINESVILLE,FL,32605,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SURGERY CENTER OF NORTH FLORIDA INC,10C0001257,1154366060,GAINESVILLE,FL,32605,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,19,89.5,
CHRISTUS SANTA ROSA PHYSICIANS AMBULATORY SURGERY CENTER IV,45C0001402,1154369114,SAN ANTONIO,TX,78258,2022,25.23,,N/A,5,413,No Different Than the National Rate,11.5,8.3,15.8,,100,,1.29,,249,No Different Than the National Rate,2,1.3,3,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
CHRISTUS SANTA ROSA PHYSICIANS AMBULATORY SURGERY CENTER IV,45C0001402,1154369114,SAN ANTONIO,TX,78258,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,373,92.5,
MICHIGAN SURGICAL CENTER LLC,23C0001035,1154370146,EAST LANSING,MI,48823,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.32,,51,No Different Than the National Rate,2,1.3,3.1,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MICHIGAN SURGICAL CENTER LLC,23C0001035,1154370146,EAST LANSING,MI,48823,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,82,91.5,
LOCKWOOD AMBULATORY SURGERY CENTER,21C0001189,1154385813,SILVER SPRING,MD,20901,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,83,No Different Than the National Rate,2.1,1.3,3.1,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
LOCKWOOD AMBULATORY SURGERY CENTER,21C0001189,1154385813,SILVER SPRING,MD,20901,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CENTER FOR ADVANCED SURGERY,03C0001052,1154387710,GILBERT,AZ,85297,2022,100,,100,,47,No Different Than the National Rate,11.5,8,16.2,,100,,0.46,,48,No Different Than the National Rate,2.1,1.4,3.3,,55,No Different Than the National Rate,6.4,4.1,10.1,,,N/A,5
CENTER FOR ADVANCED SURGERY,03C0001052,1154387710,GILBERT,AZ,85297,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,201,90,
MAYO CLINIC ARIZONA,03C0001087,1154392231,SCOTTSDALE,AZ,85259,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MAYO CLINIC ARIZONA,03C0001087,1154392231,SCOTTSDALE,AZ,85259,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,66,98.5,
ST LOUIS WOMENS SURGERY CENTER LLC,26C0001079,1154400471,BALLWIN,MO,63011,2022,79.04,,N/A,5,161,No Different Than the National Rate,10.2,7.3,14.3,,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
ST LOUIS WOMENS SURGERY CENTER LLC,26C0001079,1154400471,BALLWIN,MO,63011,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,82,97.6,
SURGICORE INC,14C0001143,1154412120,CHICAGO,IL,60617,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SURGICORE INC,14C0001143,1154412120,CHICAGO,IL,60617,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SURGICENTER LTD,36C0001022,1154412757,NEWARK,OH,43055,2022,N/A,5,89,,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SURGICENTER LTD,36C0001022,1154412757,NEWARK,OH,43055,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,15,70.4,
BRUNSWICK PAIN TREATMENT CENTER LLC,11C0001249,1154422541,BRUNSWICK,GA,31525,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,111,No Different Than the National Rate,1.9,1.3,3,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
BRUNSWICK PAIN TREATMENT CENTER LLC,11C0001249,1154422541,BRUNSWICK,GA,31525,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,15,84.9,
SEBASTOPOL ASC LP,55C0001098,1154440972,SEBASTOPOL,CA,95472,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SEBASTOPOL ASC LP,55C0001098,1154440972,SEBASTOPOL,CA,95472,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,16,100,
GASTROENTEROLOGY ASSOCIATES PA,34C0001119,1154442630,HICKORY,NC,28601,2022,97,,N/A,5,2094,No Different Than the National Rate,9.1,6.8,12,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
GASTROENTEROLOGY ASSOCIATES PA,34C0001119,1154442630,HICKORY,NC,28601,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,30,86.5,
AUGUSTA EYE SURGERY LLC,11C0001311,1154449643,AUGUSTA,GA,30907,2022,N/A,5,100,,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.68,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
AUGUSTA EYE SURGERY LLC,11C0001311,1154449643,AUGUSTA,GA,30907,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,18,88.7,
VIRGINIA MASON MEDICAL CENTER,50C0001207,1154460525,LYNNWOOD,WA,98036,2022,100,,N/A,5,612,No Different Than the National Rate,10.7,7.8,14.9,,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
VIRGINIA MASON MEDICAL CENTER,50C0001207,1154460525,LYNNWOOD,WA,98036,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,9,N/A,1
GEORGIA PAIN SPINE CENTERS LLC,11C0001334,1154473858,MARIETTA,GA,30060,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
GEORGIA PAIN SPINE CENTERS LLC,11C0001334,1154473858,MARIETTA,GA,30060,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,20,95,
CREEKWOOD SURGERY CENTER LP,26C0001021,1154474583,KANSAS CITY,MO,64118,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,465,No Different Than the National Rate,2.4,1.7,3.4,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CREEKWOOD SURGERY CENTER LP,26C0001021,1154474583,KANSAS CITY,MO,64118,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,77,82.7,
SPRING VALLEY SURGERY CENTER LLC,29C0001056,1154481984,LAS VEGAS,NV,89103,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SPRING VALLEY SURGERY CENTER LLC,29C0001056,1154481984,LAS VEGAS,NV,89103,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,6,N/A,1
SPRING VALLEY SURGERY CENTER LLC,29C0001079,1154481984,LAS VEGAS,NV,89103,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SPRING VALLEY SURGERY CENTER LLC,29C0001079,1154481984,LAS VEGAS,NV,89103,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,6,N/A,1
NOVOCURTROON PAIN MANAGEMENT LLC,03C0001331,1154483808,CHANDLER,AZ,85224,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NOVOCURTROON PAIN MANAGEMENT LLC,03C0001331,1154483808,CHANDLER,AZ,85224,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
TROON PAIN MANAGEMENT DBA NOVOCUR,03C0001400,1154483808,CHANDLER,AZ,85225,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
