"Facility Name","Facility ID","NPI","City/Town","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-17 Total Cases","ASC-17 Performance Category","ASC-17 RSHV Rate","ASC-17 Interval Lower Limit","ASC-17 Interval Upper Limit","ASC-17 Footnote","ASC-18 Total Cases","ASC-18 Performance Category","ASC-18 RSHV Rate","ASC-18 Interval Lower Limit","ASC-18 Interval Upper Limit","ASC-18 Footnote","ASC-19 Total Cases","ASC-19 Performance Category","ASC-19 RSHV Rate","ASC-19 Interval Lower Limit","ASC-19 Interval Upper Limit","ASC-19 Footnote","ASC-20 Sample","ASC-20 Rate","ASC-20 Footnote"
NOVANT HEALTH HUNTERSVILLE OUTPATIENT SURGERY CENTER,34C0001168,1063641801,HUNTERSVILLE,NC,28078,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.00,,77,No Different Than the National Rate,2.2,1.3,3.4,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,116,No Different than expected,0.9,0.5,1.7,,,N/A,5
NOVANT HEALTH HUNTERSVILLE OUTPATIENT SURGERY CENTER,34C0001168,1063641801,HUNTERSVILLE,NC,28078,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,338,94.30,
IMPERIAL CALCASIEU SURGICAL CENTER,19C0001116,1063649978,LAKE CHARLES,LA,70605,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.13,,383,No Different Than the National Rate,2.0,1.3,3.0,,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
IMPERIAL CALCASIEU SURGICAL CENTER,19C0001116,1063649978,LAKE CHARLES,LA,70605,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,87,86.30,
COMMUNITY SURGERY CENTER HOWARD,15C0001109,1063659605,KOKOMO,IN,46902,2022,58.33,,N/A,5,822,No Different Than the National Rate,12.3,8.9,17.0,,97.83,,0.00,,119,No Different Than the National Rate,1.9,1.2,3.0,,53,No Different Than the National Rate,5.3,3.4,8.2,,201,No Different than expected,1.1,0.7,1.8,,,N/A,5
COMMUNITY SURGERY CENTER HOWARD,15C0001109,1063659605,KOKOMO,IN,46902,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,85,70.60,
CGS ENDOSCOPY CENTER PLLC,34C0001157,1063667020,WILSON,NC,27896,2022,87.63,,N/A,5,414,No Different Than the National Rate,10.4,7.2,15.1,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CGS ENDOSCOPY CENTER PLLC,34C0001157,1063667020,WILSON,NC,27896,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,7,N/A,1
LOMA LINDA AMBULATORY SURGICAL CENTER,55C0001035,1063692283,LOMA LINDA,CA,92354,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
LOMA LINDA AMBULATORY SURGICAL CENTER,55C0001035,1063692283,LOMA LINDA,CA,92354,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SOUTHWEST ENDOSCOPY AND SURGICENTER LLC,03C0001313,1063693588,GILBERT,AZ,85234,2022,N/A,5,N/A,5,137,No Different Than the National Rate,9.5,6.5,13.6,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SOUTHWEST ENDOSCOPY AND SURGICENTER LLC,03C0001313,1063693588,GILBERT,AZ,85234,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,131,93.90,
NEW VISION SURGICAL CENTER LLC,10C0001563,1063701977,VERO BEACH,FL,32960,2022,N/A,5,100.00,,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.00,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
NEW VISION SURGICAL CENTER LLC,10C0001563,1063701977,VERO BEACH,FL,32960,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,54,68.50,
NEW BRITAIN SURGERY CENTER LLC,39C0001292,1063715951,CHALFONT,PA,18914,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,41.72,,N/A,5,628,No Different Than the National Rate,2.3,1.6,3.3,,N/A,N/A,N/A,N/A,N/A,5,25,No Different than expected,1.0,0.5,1.8,,,N/A,5
NEW BRITAIN SURGERY CENTER LLC,39C0001292,1063715951,CHALFONT,PA,18914,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,83,95.20,
WASATCH FRONT SURGERY CENTER LLC,46C0001033,1063720365,WEST VALLEY CITY,UT,84120,2022,97.92,,N/A,5,310,No Different Than the National Rate,10.3,7.2,14.4,,99.88,,0.68,,61,No Different Than the National Rate,2.0,1.3,3.2,,N/A,N/A,N/A,N/A,N/A,5,27,No Different than expected,0.9,0.5,1.7,,,N/A,5
WASATCH FRONT SURGERY CENTER LLC,46C0001033,1063720365,WEST VALLEY CITY,UT,84120,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,89,97.80,
WOLFE SURGERY CENTER LLC,16C0001030,1063733095,WEST DES MOINES,IA,50266,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.25,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,44,No Different than expected,0.9,0.5,1.7,,,N/A,5
WOLFE SURGERY CENTER LLC,16C0001030,1063733095,WEST DES MOINES,IA,50266,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,86.70,
OCHSNER MEDICAL CENTER NORTHSHORE LLC,19C0001019,1063735702,SLIDELL,LA,70461,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,50,No Different Than the National Rate,5.0,3.2,7.7,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
OCHSNER MEDICAL CENTER NORTHSHORE LLC,19C0001019,1063735702,SLIDELL,LA,70461,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,26,96.20,
MENLO PARK SURGERY CENTER LLC,31C0001308,1063750867,EDISON,NJ,08837,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,63,No Different Than the National Rate,2.1,1.3,3.3,,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
MENLO PARK SURGERY CENTER LLC,31C0001308,1063750867,EDISON,NJ,08837,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,26,96.10,
PARKVIEW ORTHO CENTER LLC,15C0001026,1063757227,FORT WAYNE,IN,46845,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.59,,N/A,5,337,No Different Than the National Rate,2.5,1.7,3.7,,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
PARKVIEW ORTHO CENTER LLC,15C0001026,1063757227,FORT WAYNE,IN,46845,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,171,87.30,
TYLER CARDIAC AND ENDOVASCULAR SURGERY CENTER,45C0001576,1063819860,TYLER,TX,75701,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
TYLER CARDIAC AND ENDOVASCULAR SURGERY CENTER,45C0001576,1063819860,TYLER,TX,75701,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,16,56.30,
METROEAST ENDOSCOPIC SURGERY CENTER,14C0001160,1063838357,FAIRVIEW HEIGHTS,IL,62208,2022,47.17,,N/A,5,507,No Different Than the National Rate,9.9,7.0,14.3,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
METROEAST ENDOSCOPIC SURGERY CENTER,14C0001160,1063838357,FAIRVIEW HEIGHTS,IL,62208,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,26,100.00,
NATIONAL SURGICAL CENTERS OF AMERICA LLC,10C0001583,1063853174,LADY LAKE,FL,32159,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NATIONAL SURGICAL CENTERS OF AMERICA LLC,10C0001583,1063853174,LADY LAKE,FL,32159,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,20,65.00,
CESC LLC,20C0001020,1063878734,ELLSWORTH,ME,04605,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.25,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,52,No Different than expected,1.0,0.6,1.8,,,N/A,5
CESC LLC,20C0001020,1063878734,ELLSWORTH,ME,04605,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,31,96.80,
MAGNOLIA SURGERY CENTER LLC,05C0002129,1063887875,EL CAJON,CA,92020,2022,N/A,5,N/A,5,180,No Different Than the National Rate,9.3,6.5,13.4,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MAGNOLIA SURGERY CENTER LLC,05C0002129,1063887875,EL CAJON,CA,92020,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
INNOVATIVE EYE SURGERY CENTER,18C0001052,1063905818,PADUCAH,KY,42003,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,1.22,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
INNOVATIVE EYE SURGERY CENTER,18C0001052,1063905818,PADUCAH,KY,42003,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,12,75.00,
CHESNUT INSTITUTE OF COSMETIC RECONSTRUCTIVE SUR,50C0001325,1063935286,SPOKANE,WA,,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,510,No Different than expected,0.9,0.6,1.5,,,N/A,5
CHESNUT INSTITUTE OF COSMETIC RECONSTRUCTIVE SUR,50C0001325,1063935286,SPOKANE,WA,,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,25,100.00,
SILVER CROSS AMBULATORY SURGERY CENTER LLC DBA SILVER CROSS SURGERY CENTER,14C0001172,1063947422,NEW LENOX,IL,60451,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.14,,209,No Different Than the National Rate,2.2,1.4,3.2,,471,No Different Than the National Rate,4.6,3.4,6.2,,74,Worse than expected,1.8,1.1,3.2,,,N/A,5
SILVER CROSS AMBULATORY SURGERY CENTER LLC DBA SILVER CROSS SURGERY CENTER,14C0001172,1063947422,NEW LENOX,IL,60451,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,57,100.00,
COMPLETE PAIN SURGERY CENTER OF WHITE MARSH LLC,21C0001622,1063981801,WHITE MARSH,MD,21162,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
COMPLETE PAIN SURGERY CENTER OF WHITE MARSH LLC,21C0001622,1063981801,WHITE MARSH,MD,21162,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,7,N/A,1
COASTAL ENDO LLC,31C0001261,1063996734,BARNEGAT,NJ,08005,2022,N/A,5,N/A,5,1184,No Different Than the National Rate,9.0,6.6,12.3,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
COASTAL ENDO LLC,31C0001261,1063996734,BARNEGAT,NJ,08005,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,37,81.10,
SOUTHERN KENTUCKY SURGICENTER LLC DBA GREENVIEW SURGERY CENTER,18C0001053,1063999662,BOWLING GREEN,KY,42103,2022,88.89,,N/A,5,637,No Different Than the National Rate,11.1,7.8,15.7,,99.88,,0.07,,336,No Different Than the National Rate,2.1,1.4,3.1,,146,No Different Than the National Rate,5.4,3.6,8.0,,43,No Different than expected,1.1,0.6,2.0,,,N/A,5
SOUTHERN KENTUCKY SURGICENTER LLC DBA GREENVIEW SURGERY CENTER,18C0001053,1063999662,BOWLING GREEN,KY,42103,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,142,86.70,
SUSITNA SURGERY CENTER LLC,02C0001018,1073009304,PALMER,AK,99645,2022,100.00,,N/A,5,483,No Different Than the National Rate,10.5,7.4,14.7,,100.00,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,75,No Different Than the National Rate,5.8,3.8,8.7,,68,No Different than expected,1.1,0.7,2.0,,,N/A,5
SUSITNA SURGERY CENTER LLC,02C0001018,1073009304,PALMER,AK,99645,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,35,80.60,
MID CITY SPECIALTY CENTER LLC,19C0001136,1073026639,BATON ROUGE,LA,70806,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
MID CITY SPECIALTY CENTER LLC,19C0001136,1073026639,BATON ROUGE,LA,70806,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,25,100.00,
AKDHC SURGERY CENTER LLC WESTGATE,03C0001387,1073030532,GLENDALE,AZ,85305,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
AKDHC SURGERY CENTER LLC WESTGATE,03C0001387,1073030532,GLENDALE,AZ,85305,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,8,N/A,1
UNIVERSITY ORTHOPEDICS EAST BAY SURGERY CENTER,41C0001017,1073039657,EAST PROVIDENCE,RI,02914,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.07,,N/A,5,698,No Different Than the National Rate,1.7,1.2,2.5,,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
UNIVERSITY ORTHOPEDICS EAST BAY SURGERY CENTER,41C0001017,1073039657,EAST PROVIDENCE,RI,02914,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,102,100.00,
PREMIER GASTROENTEROLOGY ASSOCIATES DBA PREMIER SURGERY CENTER,04C0001098,1073079596,LITTLE ROCK,AR,72212,2022,96.06,,N/A,5,3829,No Different Than the National Rate,10.6,8.5,13.4,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
PREMIER GASTROENTEROLOGY ASSOCIATES DBA PREMIER SURGERY CENTER,04C0001098,1073079596,LITTLE ROCK,AR,72212,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,89,100.00,
MILFORD FRANKLIN EYE CENTER,22C0001083,1073081501,MILFORD,MA,01757,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.34,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MILFORD FRANKLIN EYE CENTER,22C0001083,1073081501,MILFORD,MA,01757,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,15,100.00,
CENTRAL VALLEY SURGICAL CENTER,05C0002251,1073094660,BAKERSFIELD,CA,93301,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
CENTRAL VALLEY SURGICAL CENTER,05C0002251,1073094660,BAKERSFIELD,CA,93301,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SPINE SOLUTIONS OF WEST BEND LLC,52C0001137,1073113841,WEST BEND,WI,53095,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,53,No Different Than the National Rate,2.0,1.3,3.1,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SPINE SOLUTIONS OF WEST BEND LLC,52C0001137,1073113841,WEST BEND,WI,53095,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,11,58.80,
MEDFORD SURGERY CENTER,22C0001085,1073149365,MEDFORD,MA,02155,2022,98.90,,N/A,5,124,No Different Than the National Rate,9.4,6.4,13.9,,98.00,,N/A,5,144,No Different Than the National Rate,2.0,1.3,3.0,,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
MEDFORD SURGERY CENTER,22C0001085,1073149365,MEDFORD,MA,02155,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,204,94.40,
REGENCY AMBULATORY SURGERY CENTER ONE LLC,03C0001431,1073155834,SURPRISE,AZ,85374,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5,39,No Different Than the National Rate,2.2,1.4,3.6,,N/A,N/A,N/A,N/A,N/A,5,1962,No Different than expected,0.8,0.5,1.1,,,N/A,5
REGENCY AMBULATORY SURGERY CENTER ONE LLC,03C0001431,1073155834,SURPRISE,AZ,85374,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,19,78.80,
PALMETTO SURGERY CENTER LLC,42C0001031,1073505038,COLUMBIA,SC,29223,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.26,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,107,No Different than expected,0.9,0.5,1.5,,,N/A,5
PALMETTO SURGERY CENTER LLC,42C0001031,1073505038,COLUMBIA,SC,29223,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,66,90.40,
THIBODAUX LASER AND SURGERY CENTER LLC,19C0001059,1073505616,THIBODAUX,LA,70301,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.04,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
THIBODAUX LASER AND SURGERY CENTER LLC,19C0001059,1073505616,THIBODAUX,LA,70301,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,33,69.00,
WEST PLAINS AMBULATORY SURGERY CENTER,26C0001100,1073509733,WEST PLAINS,MO,65775,2022,98.02,,N/A,5,183,No Different Than the National Rate,10.8,7.4,15.8,,100.00,,2.23,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,62,No Different than expected,0.9,0.5,1.6,,,N/A,5
WEST PLAINS AMBULATORY SURGERY CENTER,26C0001100,1073509733,WEST PLAINS,MO,65775,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,38,69.00,
SPRING PARK SURGERY CENTER LLC,16C0001001,1073516795,DAVENPORT,IA,52807,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.77,,0.35,,N/A,N/A,N/A,N/A,N/A,5,515,Worse Than the National Rate,8.4,6.5,10.6,,41,No Different than expected,0.9,0.5,1.7,,,N/A,5
SPRING PARK SURGERY CENTER LLC,16C0001001,1073516795,DAVENPORT,IA,52807,2023_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,89.30,
