"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Composite Value","PSI 90 Composite Value Footnote","PSI 90 W Z Score","PSI 90 W Z Footnote","PSI 90 Start Date","PSI 90 End Date","CLABSI SIR","CLABSI SIR Footnote","CLABSI W Z Score","CLABSI W Z Footnote","CAUTI SIR","CAUTI SIR Footnote","CAUTI W Z Score","CAUTI W Z Footnote","SSI SIR","SSI SIR Footnote","SSI W Z Score","SSI W Z Footnote","CDI SIR","CDI SIR Footnote","CDI W Z Score","CDI W Z Footnote","MRSA SIR","MRSA SIR Footnote","MRSA W Z Score","MRSA W Z Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Score Footnote","Payment Reduction","Payment Reduction Footnote"
SUTTER COAST HOSPITAL,050417,CA,2024,0.9560,,-0.3286,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.311,,-0.4840,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.4063,,No,
PALO VERDE HOSPITAL,050423,CA,2024,0.9934,,-0.0108,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0108,,No,
SCRIPPS GREEN HOSPITAL,050424,CA,2024,1.0767,,0.6965,,01/01/2021,06/30/2022,0.864,,0.0597,,0.964,,0.4987,,1.039,,0.3491,,0.624,,0.4543,,0.554,,-0.5228,,01/01/2022,12/31/2022,0.2559,,No,
KAISER FOUNDATION HOSPITAL - SACRAMENTO,050425,CA,2024,1.0110,,0.1388,,01/01/2021,06/30/2022,1.337,,0.8475,,0.740,,0.0803,,2.540,,2.1665,,0.203,,-0.8078,,0.448,,-0.6901,,01/01/2022,12/31/2022,0.2892,,No,
WEST ANAHEIM MEDICAL CENTER,050426,CA,2024,0.8400,,-1.3136,,01/01/2021,06/30/2022,0.807,,-0.0353,,0.511,,-0.3474,,N/A,13,N/A,5,0.108,,-1.0925,,0.844,,-0.0650,,01/01/2022,12/31/2022,-0.5708,,No,
HUNTINGTON HOSPITAL,050438,CA,2024,1.1969,,1.7172,,01/01/2021,06/30/2022,0.724,,-0.1735,,0.857,,0.2988,,0.922,,0.1591,,0.735,,0.7871,,1.666,,1.2325,,01/01/2022,12/31/2022,0.6702,,Yes,
STANFORD HEALTH CARE,050441,CA,2024,0.9381,,-0.4810,,01/01/2021,06/30/2022,0.853,,0.0413,,0.782,,0.1588,,0.479,,-0.5604,,0.608,,0.4064,,0.885,,-0.0003,,01/01/2022,12/31/2022,-0.0725,,No,
MERCY MEDICAL CENTER,050444,CA,2024,0.7890,,-1.5902,,01/01/2021,06/30/2022,0.325,,-0.8381,,0.128,,-1.0628,,0.307,,-0.8397,,0.403,,-0.2082,,0.745,,-0.2213,,01/01/2022,12/31/2022,-0.7934,,No,
UCSF MEDICAL CENTER,050454,CA,2024,0.7782,,-1.5902,,01/01/2021,06/30/2022,0.944,,0.1929,,1.059,,0.6761,,0.733,,-0.1479,,0.757,,0.8530,,0.682,,-0.3207,,01/01/2022,12/31/2022,-0.0561,,No,
ADVENTIST HEALTH BAKERSFIELD,050455,CA,2024,0.8236,,-1.4531,,01/01/2021,06/30/2022,0.804,,-0.0403,,0.425,,-0.5080,,0.702,,-0.1982,,0.289,,-0.5499,,0.636,,-0.3933,,01/01/2022,12/31/2022,-0.5238,,No,
ST MARY'S MEDICAL CENTER,050457,CA,2024,0.8287,,-1.4098,,01/01/2021,06/30/2022,0.496,,-0.5533,,0.665,,-0.0598,,N/A,13,N/A,5,0.525,,0.1575,,1.668,,1.2357,,01/01/2022,12/31/2022,-0.1259,,No,
DOCTORS MEDICAL CENTER,050464,CA,2024,1.0347,,0.3395,,01/01/2021,06/30/2022,0.331,,-0.8281,,0.300,,-0.7415,,0.524,,-0.4873,,0.367,,-0.3161,,0.843,,-0.0666,,01/01/2022,12/31/2022,-0.3500,,No,
MEMORIAL HOSPITAL OF GARDENA,050468,CA,2024,0.8854,,-0.9279,,01/01/2021,06/30/2022,2.064,,2.0584,,0.753,,0.1046,,N/A,13,N/A,5,0.446,,-0.0793,,3.501,,2.2744,,01/01/2022,12/31/2022,0.6860,,Yes,
PIH HEALTH GOOD SAMARITAN HOSPITAL,050471,CA,2024,0.9740,,-0.1759,,01/01/2021,06/30/2022,0.134,,-1.1562,,1.231,,0.9974,,2.629,,2.1665,,0.542,,0.2085,,1.243,,0.5648,,01/01/2022,12/31/2022,0.4342,,Yes,
WEST HILLS HOSPITAL & MEDICAL CENTER,050481,CA,2024,0.9383,,-0.4791,,01/01/2021,06/30/2022,1.482,,1.0890,,1.211,,0.9600,,0.000,,-1.3383,,0.469,,-0.0103,,1.361,,0.7511,,01/01/2022,12/31/2022,0.1621,,No,
MEMORIALCARE LONG BEACH MEDICAL CENTER,050485,CA,2024,1.1657,,1.4517,,01/01/2021,06/30/2022,0.802,,-0.0436,,0.862,,0.3082,,1.360,,0.8704,,0.567,,0.2834,,1.958,,1.6935,,01/01/2022,12/31/2022,0.7606,,Yes,
EDEN MEDICAL CENTER,050488,CA,2024,1.0307,,0.3054,,01/01/2021,06/30/2022,1.682,,1.4222,,0.418,,-0.5211,,1.489,,1.0799,,0.191,,-0.8437,,0.000,,-1.3973,,01/01/2022,12/31/2022,0.0076,,No,
CLOVIS COMMUNITY MEDICAL CENTER,050492,CA,2024,0.9470,,-0.4047,,01/01/2021,06/30/2022,0.863,,0.0580,,0.664,,-0.0616,,1.830,,1.6338,,0.549,,0.2295,,0.000,,-1.3973,,01/01/2022,12/31/2022,0.0096,,No,
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,050496,CA,2024,1.4286,,2.3062,,01/01/2021,06/30/2022,1.212,,0.6393,,0.678,,-0.0355,,0.779,,-0.0732,,0.748,,0.8260,,1.524,,1.0084,,01/01/2022,12/31/2022,0.7786,,Yes,
SUTTER AUBURN FAITH HOSPITAL,050498,CA,2024,0.8631,,-1.1173,,01/01/2021,06/30/2022,1.693,,1.4405,,N/A,13,N/A,5,0.000,,-1.3383,,0.948,,1.4256,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.1026,,No,
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,050503,CA,2024,0.8616,,-1.1299,,01/01/2021,06/30/2022,0.000,,-1.3794,,1.394,,1.3018,,1.184,,0.5846,,0.172,,-0.9007,,0.570,,-0.4975,,01/01/2022,12/31/2022,-0.3369,,No,
TENET HEALTH CENTRAL COAST SIERRA VISTA RMC,050506,CA,2024,0.9207,,-0.6282,,01/01/2021,06/30/2022,1.295,,0.7776,,0.450,,-0.4613,,0.000,,-1.3383,,0.329,,-0.4300,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.5796,,No,
KAISER FOUNDATION HOSPITAL,050510,CA,2024,0.9594,,-0.2996,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.986,,0.5398,,0.455,,-0.5994,,1.267,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.1143,,No,
KAISER FOUNDATION HOSPITAL - FREMONT,050512,CA,2024,0.9546,,-0.3406,,01/01/2021,06/30/2022,2.197,,2.2800,,1.981,,2.3067,,0.820,,-0.0066,,0.414,,-0.1752,,1.840,,1.5072,,01/01/2022,12/31/2022,0.9286,,Yes,
KAISER FOUNDATION HOSPITAL - SAN DIEGO,050515,CA,2024,0.9218,,-0.6188,,01/01/2021,06/30/2022,0.442,,-0.6432,,1.631,,1.7445,,1.252,,0.6950,,0.768,,0.8860,,0.323,,-0.8874,,01/01/2022,12/31/2022,0.1960,,No,
MERCY SAN JUAN MEDICAL CENTER,050516,CA,2024,0.8407,,-1.3077,,01/01/2021,06/30/2022,0.355,,-0.7881,,0.543,,-0.2876,,0.387,,-0.7098,,0.211,,-0.7838,,1.591,,1.1142,,01/01/2022,12/31/2022,-0.4605,,No,
VICTOR VALLEY GLOBAL MEDICAL CENTER,050517,CA,2024,0.9880,,-0.0570,,01/01/2021,06/30/2022,2.445,,2.2883,,0.000,,-1.3018,,0.560,,-0.4288,,0.456,,-0.0493,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.0903,,No,
SUTTER DELTA MEDICAL CENTER,050523,CA,2024,0.9345,,-0.5112,,01/01/2021,06/30/2022,1.725,,1.4938,,1.229,,0.9937,,N/A,13,N/A,5,0.202,,-0.8108,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.2914,,No,
HUNTINGTON BEACH HOSPITAL,050526,CA,2024,0.8999,,-0.8054,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.869,,0.3213,,N/A,13,N/A,5,0.383,,-0.2682,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.2508,,No,
MEMORIAL HOSPITAL LOS BANOS,050528,CA,2024,0.9551,,-0.3359,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8761,,No,
JOHN F KENNEDY MEMORIAL HOSPITAL,050534,CA,2024,0.9383,,-0.4789,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.000,,-1.3018,,1.438,,0.9971,,0.105,,-1.1015,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.6529,,No,
SUTTER DAVIS HOSPITAL,050537,CA,2024,1.0013,,0.0559,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.6802,,No,
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,050541,CA,2024,0.9580,,-0.3115,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.186,,-0.9544,,3.019,,2.1665,,0.000,,-1.4163,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.5488,,No,
COLLEGE HOSPITAL COSTA MESA,050543,CA,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.4163,,No,
PORTERVILLE DEVELOPMENTAL CENTER,050546,CA,2024,N/A,5,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,18,2.1665,18,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,2.1665,18,Yes,
LOS ROBLES HOSPITAL & MEDICAL CENTER,050549,CA,2024,0.9792,,-0.1313,,01/01/2021,06/30/2022,0.801,,-0.0453,,1.308,,1.1412,,1.369,,0.8851,,0.426,,-0.1392,,0.000,,-1.3973,,01/01/2022,12/31/2022,0.0522,,No,
LOS ALAMITOS MEDICAL CENTER,050551,CA,2024,1.0020,,0.0623,,01/01/2021,06/30/2022,2.203,,2.2883,,2.690,,2.3067,,2.608,,2.1665,,0.719,,0.7391,,2.199,,2.0739,,01/01/2022,12/31/2022,1.6061,,Yes,
MEMORIAL MEDICAL CENTER,050557,CA,2024,1.1578,,1.3850,,01/01/2021,06/30/2022,0.830,,0.0030,,1.522,,1.5409,,2.148,,2.1502,,0.144,,-0.9846,,0.637,,-0.3918,,01/01/2022,12/31/2022,0.6171,,Yes,
KAISER FOUNDATION HOSPITAL - WEST LA,050561,CA,2024,0.9963,,0.0132,,01/01/2021,06/30/2022,2.329,,2.2883,,1.027,,0.6164,,0.807,,-0.0277,,0.723,,0.7511,,4.205,,2.2744,,01/01/2022,12/31/2022,0.9859,,Yes,
PROVIDENCE MISSION HOSPITAL,050567,CA,2024,0.8968,,-0.8318,,01/01/2021,06/30/2022,0.273,,-0.9247,,0.300,,-0.7415,,0.305,,-0.8430,,0.523,,0.1515,,0.802,,-0.1313,,01/01/2022,12/31/2022,-0.5535,,No,
FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,050570,CA,2024,1.0610,,0.5627,,01/01/2021,06/30/2022,1.562,,1.2223,,0.831,,0.2503,,1.399,,0.9338,,0.596,,0.3704,,0.553,,-0.5244,,01/01/2022,12/31/2022,0.4692,,Yes,
EISENHOWER MEDICAL CENTER,050573,CA,2024,0.8284,,-1.4122,,01/01/2021,06/30/2022,0.546,,-0.4700,,0.623,,-0.1382,,1.821,,1.6191,,0.369,,-0.3101,,0.604,,-0.4439,,01/01/2022,12/31/2022,-0.1925,,No,
LA PALMA INTERCOMMUNITY HOSPITAL,050580,CA,2024,0.9356,,-0.5022,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,N/A,13,N/A,5,0.192,,-0.8407,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8816,,No,
LAKEWOOD REGIONAL MEDICAL CENTER,050581,CA,2024,1.0432,,0.4115,,01/01/2021,06/30/2022,1.481,,1.0874,,0.995,,0.5566,,0.000,,-1.3383,,0.323,,-0.4480,,0.524,,-0.5701,,01/01/2022,12/31/2022,-0.0502,,No,
CHINO VALLEY MEDICAL CENTER,050586,CA,2024,0.8962,,-0.8369,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.327,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.7365,,Yes,
SAN DIMAS COMMUNITY HOSPITAL,050588,CA,2024,0.8869,,-0.9155,,01/01/2021,06/30/2022,0.397,,-0.7182,,0.311,,-0.7210,,N/A,13,N/A,5,0.895,,1.2667,,3.407,,2.2744,,01/01/2022,12/31/2022,0.2373,,No,
PLACENTIA LINDA HOSPITAL,050589,CA,2024,0.9463,,-0.4113,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,0.831,,0.0113,,0.430,,-0.1273,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.1757,,No,
METHODIST HOSPITAL OF SACRAMENTO,050590,CA,2024,0.8829,,-0.9498,,01/01/2021,06/30/2022,2.211,,2.2883,,1.725,,1.9201,,0.839,,0.0243,,0.451,,-0.0643,,0.667,,-0.3444,,01/01/2022,12/31/2022,0.4790,,Yes,
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,050597,CA,2024,1.0238,,0.2474,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.449,,-0.4632,,0.000,,-1.3383,,1.145,,2.0162,,2.683,,2.2744,,01/01/2022,12/31/2022,0.2262,,No,
UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,050599,CA,2024,1.2485,,2.1552,,01/01/2021,06/30/2022,0.941,,0.1879,,1.112,,0.7751,,1.604,,1.2667,,0.583,,0.3314,,1.788,,1.4251,,01/01/2022,12/31/2022,1.0236,,Yes,
MEMORIALCARE SADDLEBACK MEDICAL CENTER,050603,CA,2024,1.0479,,0.4518,,01/01/2021,06/30/2022,0.484,,-0.5733,,1.760,,1.9854,,1.081,,0.4173,,0.400,,-0.2172,,0.589,,-0.4675,,01/01/2022,12/31/2022,0.2661,,No,
KAISER FOUNDATION HOSPITAL-SAN JOSE,050604,CA,2024,0.8909,,-0.8814,,01/01/2021,06/30/2022,1.216,,0.6460,,0.218,,-0.8947,,0.998,,0.2825,,0.693,,0.6612,,3.262,,2.2744,,01/01/2022,12/31/2022,0.3480,,No,
ADVENTIST HEALTH DELANO,050608,CA,2024,1.2552,,2.2125,,01/01/2021,06/30/2022,0.943,,0.1913,,0.881,,0.3437,,N/A,13,N/A,5,0.613,,0.4213,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.7922,,Yes,
KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,050609,CA,2024,0.9247,,-0.5943,,01/01/2021,06/30/2022,0.612,,-0.3601,,0.813,,0.2167,,1.900,,1.7474,,0.688,,0.6462,,0.535,,-0.5528,,01/01/2022,12/31/2022,0.1838,,No,
HENRY MAYO NEWHALL  HOSPITAL,050624,CA,2024,1.4079,,2.3062,,01/01/2021,06/30/2022,1.586,,1.2623,,0.480,,-0.4053,,1.611,,1.2781,,0.511,,0.1156,,1.154,,0.4243,,01/01/2022,12/31/2022,0.8302,,Yes,
CEDARS-SINAI MEDICAL CENTER,050625,CA,2024,1.1695,,1.4843,,01/01/2021,06/30/2022,0.817,,-0.0186,,0.704,,0.0131,,1.944,,1.8189,,0.868,,1.1858,,0.769,,-0.1834,,01/01/2022,12/31/2022,0.7167,,Yes,
TENET HEALTH CENTRAL TWIN CITIES COMMUNITY HOSP,050633,CA,2024,1.0068,,0.1029,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,0.994,,0.2760,,0.338,,-0.4031,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.3315,,No,
PALOMAR MEDICAL CENTER POWAY,050636,CA,2024,0.9463,,-0.4115,,01/01/2021,06/30/2022,0.672,,-0.2601,,0.906,,0.3904,,1.535,,1.1546,,0.257,,-0.6459,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.0455,,No,
EAST LOS ANGELES DOCTORS HOSPITAL,050641,CA,2024,1.0232,,0.2424,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.562,,0.2685,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.2554,,No,
LOS ANGELES COMMUNITY HOSPITAL,050663,CA,2024,0.7951,,-1.5902,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.000,,-1.3018,,N/A,13,N/A,5,0.084,,-1.1645,,5.401,,2.2744,,01/01/2022,12/31/2022,-0.6323,,No,
LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,050668,CA,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,18,2.1665,18,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,2.1665,18,Yes,
KAISER FOUNDATION HOSP SO SACRAMENTO,050674,CA,2024,0.9771,,-0.1494,,01/01/2021,06/30/2022,1.183,,0.5910,,0.632,,-0.1214,,1.171,,0.5635,,0.468,,-0.0133,,0.656,,-0.3618,,01/01/2022,12/31/2022,0.0848,,No,
KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,050677,CA,2024,1.0641,,0.5896,,01/01/2021,06/30/2022,2.326,,2.2883,,0.800,,0.1924,,0.531,,-0.4759,,0.969,,1.4886,,0.422,,-0.7311,,01/01/2022,12/31/2022,0.5586,,Yes,
MEMORIALCARE ORANGE COAST MEDICAL CENTER,050678,CA,2024,1.1911,,1.6682,,01/01/2021,06/30/2022,2.130,,2.1684,,0.261,,-0.8144,,0.684,,-0.2274,,0.602,,0.3884,,2.415,,2.2744,,01/01/2022,12/31/2022,0.9096,,Yes,
MENIFEE GLOBAL MEDICAL CENTER,050684,CA,2024,1.0304,,0.3031,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,11,2.1665,11,N/A,11,2.3099,11,N/A,11,2.2744,11,01/01/2022,12/31/2022,1.7635,,Yes,
"KAISER FOUNDATION HOSPITAL, RIVERSIDE",050686,CA,2024,1.0391,,0.3771,,01/01/2021,06/30/2022,1.371,,0.9042,,0.616,,-0.1513,,1.389,,0.9175,,0.591,,0.3554,,1.214,,0.5190,,01/01/2022,12/31/2022,0.4870,,Yes,
SAN RAMON REGIONAL MEDICAL CENTER,050689,CA,2024,1.1842,,1.6091,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.525,,0.1575,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.8833,,Yes,
KAISER FOUNDATION HOSPITAL-SANTA ROSA,050690,CA,2024,0.9665,,-0.2392,,01/01/2021,06/30/2022,0.515,,-0.5216,,0.908,,0.3941,,1.361,,0.8721,,0.324,,-0.4450,,0.440,,-0.7027,,01/01/2022,12/31/2022,-0.1071,,No,
KECK HOSPITAL OF USC,050696,CA,2024,0.8839,,-0.9413,,01/01/2021,06/30/2022,0.814,,-0.0236,,0.740,,0.0803,,0.909,,0.1380,,0.750,,0.8320,,1.039,,0.2428,,01/01/2022,12/31/2022,0.0547,,No,
PATIENTS' HOSPITAL OF REDDING,050697,CA,2024,0.9862,,-0.0726,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0726,,No,
SOUTHWEST HEALTHCARE SYSTEM,050701,CA,2024,0.8949,,-0.8473,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.598,,-0.1849,,0.348,,-0.7731,,0.880,,1.2217,,0.872,,-0.0208,,01/01/2022,12/31/2022,-0.3307,,No,
MISSION COMMUNITY HOSPITAL,050704,CA,2024,0.9725,,-0.1884,,01/01/2021,06/30/2022,2.117,,2.1467,,2.021,,2.3067,,N/A,13,N/A,5,1.329,,2.3099,,2.209,,2.0897,,01/01/2022,12/31/2022,1.7329,,Yes,
FRESNO SURGICAL HOSPITAL,050708,CA,2024,0.9017,,-0.7899,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.7899,,No,
DESERT VALLEY HOSPITAL,050709,CA,2024,0.8445,,-1.2752,,01/01/2021,06/30/2022,0.339,,-0.8148,,1.185,,0.9115,,N/A,13,N/A,5,0.668,,0.5862,,2.492,,2.2744,,01/01/2022,12/31/2022,0.3364,,No,
KAISER FOUNDATION HOSPITAL - FRESNO,050710,CA,2024,0.9497,,-0.3823,,01/01/2021,06/30/2022,1.397,,0.9475,,1.318,,1.1599,,2.241,,2.1665,,0.581,,0.3254,,0.000,,-1.3973,,01/01/2022,12/31/2022,0.4699,,Yes,
SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,050714,CA,2024,0.9635,,-0.2650,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,0.589,,-0.3817,,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.3234,,No,
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,050717,CA,2024,1.0099,,0.1293,,01/01/2021,06/30/2022,2.911,,2.2883,,3.811,,2.3067,,N/A,12,N/A,5,1.487,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.7586,,Yes,
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,050723,CA,2024,0.9650,,-0.2525,,01/01/2021,06/30/2022,1.185,,0.5943,,0.614,,-0.1550,,2.149,,2.1518,,0.847,,1.1228,,0.000,,-1.3973,,01/01/2022,12/31/2022,0.3440,,No,
BAKERSFIELD HEART HOSPITAL,050724,CA,2024,0.9303,,-0.5470,,01/01/2021,06/30/2022,N/A,13,N/A,5,1.860,,2.1722,,N/A,13,N/A,5,0.721,,0.7451,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.7901,,Yes,
STANISLAUS SURGICAL HOSPITAL,050726,CA,2024,0.9742,,-0.1738,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.1738,,No,
WHITTIER HOSPITAL MEDICAL CENTER,050735,CA,2024,0.9267,,-0.5776,,01/01/2021,06/30/2022,2.805,,2.2883,,0.726,,0.0542,,0.000,,-1.3383,,0.288,,-0.5529,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0253,,No,
MONTEREY PARK HOSPITAL,050736,CA,2024,0.9427,,-0.4414,,01/01/2021,06/30/2022,1.654,,1.3755,,0.000,,-1.3018,,N/A,13,N/A,5,0.774,,0.9040,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.1341,,No,
GARFIELD MEDICAL CENTER,050737,CA,2024,0.9454,,-0.4187,,01/01/2021,06/30/2022,2.489,,2.2883,,1.714,,1.8995,,0.335,,-0.7943,,0.577,,0.3134,,2.391,,2.2744,,01/01/2022,12/31/2022,0.9271,,Yes,
GREATER EL MONTE COMMUNITY HOSPITAL,050738,CA,2024,0.9397,,-0.4671,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.000,,-1.3018,,N/A,11,2.1665,11,N/A,11,2.3099,11,N/A,11,2.2744,11,01/01/2022,12/31/2022,0.6004,,Yes,
CENTINELA HOSPITAL MEDICAL CENTER,050739,CA,2024,0.8424,,-1.2931,,01/01/2021,06/30/2022,0.293,,-0.8914,,0.514,,-0.3418,,0.000,,-1.3383,,0.055,,-1.2514,,1.148,,0.4149,,01/01/2022,12/31/2022,-0.7835,,No,
CEDAR-SINAI MARINA DEL REY HOSPITAL,050740,CA,2024,0.8705,,-1.0547,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.933,,0.4408,,0.654,,-0.2762,,1.338,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.0081,,No,
ANAHEIM GLOBAL MEDICAL CENTER,050744,CA,2024,0.9515,,-0.3670,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8917,,No,
CHAPMAN GLOBAL MEDICAL CENTER,050745,CA,2024,1.0169,,0.1886,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,N/A,13,N/A,5,0.309,,-0.4900,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.5344,,No,
ORANGE COUNTY GLOBAL MEDICAL CENTER,050746,CA,2024,0.8790,,-0.9828,,01/01/2021,06/30/2022,1.243,,0.6910,,1.107,,0.7658,,0.531,,-0.4759,,0.253,,-0.6579,,1.113,,0.3596,,01/01/2022,12/31/2022,-0.0500,,No,
COASTAL COMMUNITIES HOSPITAL,050747,CA,2024,0.9552,,-0.3358,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.0180,,No,
KAISER FOUNDATION HOSPITAL MANTECA,050748,CA,2024,0.9250,,-0.5923,,01/01/2021,06/30/2022,1.195,,0.6110,,0.738,,0.0766,,0.748,,-0.1235,,0.462,,-0.0313,,1.694,,1.2767,,01/01/2022,12/31/2022,0.2029,,No,
SHERMAN OAKS HOSPITAL,050755,CA,2024,0.8331,,-1.3721,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.000,,-1.3018,,N/A,13,N/A,5,0.502,,0.0886,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.9912,,No,
ALVARADO HOSPITAL MEDICAL CENTER,050757,CA,2024,0.8326,,-1.3768,,01/01/2021,06/30/2022,2.302,,2.2883,,0.306,,-0.7303,,N/A,13,N/A,5,1.424,,2.3099,,2.224,,2.1134,,01/01/2022,12/31/2022,0.9209,,Yes,
MONTCLAIR HOSPITAL MEDICAL CENTER,050758,CA,2024,0.9259,,-0.5847,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.833,,0.2540,,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.5823,,No,
KAISER FOUNDATION HOSPITAL - ANTIOCH,050760,CA,2024,0.9947,,-0.0003,,01/01/2021,06/30/2022,1.056,,0.3795,,0.762,,0.1214,,0.571,,-0.4110,,0.929,,1.3686,,0.000,,-1.3973,,01/01/2022,12/31/2022,0.0102,,No,
PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,050761,CA,2024,0.7924,,-1.5902,,01/01/2021,06/30/2022,0.748,,-0.1335,,0.711,,0.0261,,0.689,,-0.2193,,0.438,,-0.1033,,0.476,,-0.6459,,01/01/2022,12/31/2022,-0.4444,,No,
